date	prefix	url	message	context
2022-09-15	3dmet	http://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=B00162	ConnectTimeout	HTTPConnectionPool(host='www.3dmet.dna.affrc.go.jp', port=80): Max retries exceeded with url: /cgi/show_data.php?acc=B00162 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f8e0f70>, 'Connection to www.3dmet.dna.affrc.go.jp timed out. (connect timeout=15)'))
2022-09-15	abm	https://www.abmgood.com/catalogsearch/result/?cat=&q=T0599	HTTP 403	403
2022-09-15	addexbio	https://www.addexbio.com/productdetail?pid=C0020004/4992	HTTP 404	404
2022-09-15	ado	https://www.ebi.ac.uk/ols/ontologies/ado/terms?iri=http://purl.obolibrary.org/obo/ADO_0000001	HTTP 404	404
2022-09-15	aftol.taxonomy	http://wasabi.lutzonilab.net/pub/displayTaxonInfo?aftol_id=959	ConnectionError	HTTPConnectionPool(host='wasabi.lutzonilab.net', port=80): Max retries exceeded with url: /pub/displayTaxonInfo?aftol_id=959 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f8e0a30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	apaonto	http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abdomen	ConnectionError	HTTPConnectionPool(host='ontology.apa.org', port=80): Max retries exceeded with url: /apaonto/termsonlyOUT%20(5).owl (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f9cb790>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	apd	http://aps.unmc.edu/AP/database/query_output.php?ID=01001	ConnectionError	HTTPConnectionPool(host='aps.unmc.edu', port=80): Max retries exceeded with url: /AP/database/query_output.php?ID=01001 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11ec643a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2022-09-15	arachnoserver	http://www.arachnoserver.org/toxincard.html?id=AS000060	ConnectionError	HTTPConnectionPool(host='www.arachnoserver.org', port=80): Max retries exceeded with url: /toxincard.html?id=AS000060 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11ecbad90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	ardb	http://ardb.cbcb.umd.edu/cgi/search.cgi?db=L&amp;field=ni&amp;term=CAE46076	HTTP 404	404
2022-09-15	arraymap	https://www.arraymap.org/pgx:icdom:8500_3	HTTP 525	525
2022-09-15	asin	https://amzn.com/0471491039	HTTP 404	404
2022-09-15	aspgd.locus	http://www.aspergillusgenome.org/cgi-bin/locus.pl?dbid=ASPL0000349247	ConnectTimeout	HTTPConnectionPool(host='www.aspergillusgenome.org', port=80): Max retries exceeded with url: /cgi-bin/locus.pl?dbid=ASPL0000349247 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11fa020d0>, 'Connection to www.aspergillusgenome.org timed out. (connect timeout=15)'))
