prefix	name	homepage	description
ABA-AMB			
ABD			Associations of Relevant Diseases for Biosurveillance
ACESO			
ACGT-MO	ACGT Master Ontology		
ACVD_ONTOLOGY			
AD-CDO			
AD-DROP	Alzheimer Disease Relevance Ontology by Process		
ADAR	Basic Formal Ontology (BFO)		"This autism ontology extends the BIRNLex ontology and has the following  components: (1) that can be imported from various NDAR instruments (2) sample definitions of assessment abstractions based the  surveyed literature, and (3) sample definitions based on DSM IV concepts. We've added ""delay"" and ""impaired"" as direct children of specifically_dependent_continuant because they are used to define autism dispositions. (The BFO ""quality"" and ""realizable_entity"" (of which disposition is a subclass) are disjoint."
ADHER_INTCARE_EN			
ADHER_INTCARE_SP			
ADICAP			
ADMO			Alzheimer Disease Map Ontology - ADMO 1. Copyright of ontology The ontology was created jointly by the Aramis project-team (Inria, CNRS, Inserm, Sorbonne University, Institut du Cerveau et de la Moelle épinière) and the DYLISS project-team (Inria, CNRS, University of Rennes 1). The copyright of the ontology ADMO is owned by Inria, CNRS, Inserm, Sorbonne University, Institut du Cerveau et de la Moelle épinière and University of Rennes 1. 2. License terms The ontology ADMO is licensed under the Creative Commons Attribution 4.0 Unported (CC BY 4.0) license. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, 444 Castro Street, Suite 900, Mountain View, California, 94041, USA. 3. Contact For questions and remarks concerning ADMO: Vincent Henry vincent.henry[at]inria.fr Olivier Colliot olivier.colliot[at]sorbonne-universite.fr
AGROCYMAC			
AGROMOP			
AHSO	Animal Health Surveillance Ontology		An ontology to support the use of animal health data for data-driven surveillance ontology. Mode details at http://datadrivensurveillance.org.
AI	Artificial Intelligence Ontology		This ontology models classes and relationships describing deep learning networks, their component layers and activation functions, as well as potential biases.
AI-RHEUM	AIR		RDF Version of the UMLS ontology AIR; converted with the UMLS2RDF tool (https://github.com/ncbo/umls2rdf), developed by the NCBO project.
AIDENTIFYAGE			The AIdentifyAGE ontology provides a comprehensive vocabulary description for forensic age assessment using dental biological markers, promoting the transparent assessment processes in forensic odontology and age diagnostics. It formalizes expert knowledge according to IOFOS, AGFAD, ABFO, ADA and ISO standards, ensuring semantic interoperability and ethical AI integration. This ontology is a work in progress developed under the AIdentifyAGE project (FCT Grant 2024.07444.IACDC), within the national investment RE-C05-i08 – More Digital Science, measure RE-C05-i08.M04 – Support to R&D projects for advanced cybersecurity, artificial intelligence and data science systems in public administration. This work is being developed in collaboration with researchers from the University of Lisbon (Portugal), the University of Münster (Germany), and the University of Zagreb (Croatia), within the framework of the AIdentifyAGE international consortium., Base Ontology for use in AIdentifyAGE Project
ALLERGIDOC			
ALLERGYDETECTOR			
ALTPROTON	ALTPRTOTON		The present study received funding from the EU Horizon Europe research and innovation program [grant agreement No 101059632, Project GIANT LEAPS].
AMINO-ACID			Amino acids and their properties
AO	Asthma Ontology		The Asthma Ontology (AO) is a biomedical ontology used for modelling asthma-related data in routine clinical databases. The ontology was developed as a part of the MOCHA (Models of Child Health Appraised) project to be used to assist feasilbility of health databases to contribute to asthma studies.
APACOMPUTER			
APADISORDERS			
APAEDUCLUSTER			
APANEUROCLUSTER			
APAOCUEMPLOY			
APASTATISTICAL			
APATANDT			
APATREATMENT			
ARCRC	Arctic Report Card Ontology		Ontology to support NOAA Arctic Report Card essays and their corresponding datasets organized in the Arctic Data Center's data portal (https://arcticdata.io/catalog/portals/reportcard)
ASDF			
ASDPTO			
ASPECT			
ASSAYNODE	Assay node		An ontology about assay nodes
ATOM	Atlas Ontology Model		An ontology model for anatomical atlases.
AURA			This work is owned by Vulcan Inc. and is licensed for use under the Creative Commons Attribution-NonCommerical-ShareAlike 3.0 license (http://creativecommons.org/licenses/by-nc-sa/3.0/). Vulcan Inc., June 2013
BAO-GPCR	G Protein-Coupled Receptor (GPCR) BioAssays ontology		Contact: Stephan Schurer: sschurer at med.miami.edu or visit bioassayontology.org
BBO	Biomedical Burden Ontology		The Biomedical Burden Ontology is an ontology of biomedical burdens. It includes support for burden-related entities, such as treatment burden, symptom burden, and burden appraisals.
BCI-O	Brain-Computer Interaction (BCI) Ontology		"The BCI ontology (BCI-O) provides a high level semantic structure specialized metadata vocabulary set for real-world multimodal BCI data capture activities. It defines a minimalist and simple abstract metadata foundational model for real-world BCI applications that monitors human activity in any scenario. BCI multimodal domain applications are encouraged to extend and use this ontology in their implementations. BCI-O was developed following W3C Semantic Web ontology standards and guidelines, so that BCI applications can express reusable, interoperable and extendable machine-readable BCI metadata models, especially in pervasive M2M environments. For this purpose, its design was aligned to the Semantic Sensor Network Ontology (SSN), following closely its Stimulus-Sensor-Observation Ontology Design Pattern. The core set of relevant metadata definitions for real-world BCI activities were taken from different proposed vocabularies and formats in the BCI domain, such as: XDF, ESS and HED. BCI-O concepts are logically grouped into 11 modules. Each module represents a central topic of the ontology structure where the related concepts give a consistent explanation about its functional data model. The modules are: (*) Subject: concepts related to the depiction of a human being (or human subject) engaging in an activity and its associate state. (*) Context: captures the architectural description of an environment (or context). A human being interacts with a context. (*) Session: represents the interaction between a subject and a context while performing a single activity, under specific settings and conditions. (*) Observations (was SSN-Skeleton): specific concepts for BCI activities aligned to the SOSA/SSN axioms for modeling Observations (the initial alignment was to the Skeleton of [oldSSN]). Metadata related to records, modality types (such as EEG), channeling information, output streams (file formats and access) and stimulus events, are found in this module. (*) Sensors (was SSN-Device): specific related concepts for BCI activities aligned to the SOSA/SSN axioms for modeling Sensors (under Observations) (the initial alignment was to the Device module of [oldSSN]). Metadata related to devices and their channeling specification are found in this module. (*) System Capabilities (was SSN-MeasurementCapability): specific related concepts for BCI activities aligned to the SSN horizontal segmentation module for System Capabilities (the initial alignment was to the Measurement Capability module of [oldSSN]). Metadata related to channels and other measurement properties are found in this module. (*) Results (was SSN-Data): specific related concepts for BCI activities aligned to the SOSA axioms for modeling Results (the initial alignment was to the Data module of [oldSSN]). Metadata related to data blocks, recorded data, and actuation results are defined in this module. (*) data tagging). (*) Actuation: specific related concepts for BCI activities aligned to the SOSA axioms and SAN axioms for modeling Actuations. Similarly as described in [Seydoux2016], this module depicts how a subject can interact with the physical/virtual world (context) in BCI activities. Its main classes, actuator and actuation, are modeled following the Actuation-Actuator-Effect (AAE) design pattern: a core model for the IoT Ontology (IoT-O). (*) Descriptor: a descriptor represent an external resource set that extends the description of entities in the ontology. A descriptor complements the information associated to the relevant metadata set, defined in this ontology. (*) EEG: specific concepts for EEG (Electroencephalography) applications. As one of the ontologies (""concept producers"") that reuse SSN, BCI-O was selected as part of the analysis on the usage of SSN. This spec has been registered in the following open repositories: [<caption>Open Repositories where BCI-O can be accessed</caption> [ [ <th style=""width: 25%; text-align: center; Repository <th style=""width: 50%; text-align: center; Entry <th style=""width: 25%; text-align: center; Description ] ] [ [ [w3id.org github] [https://github.com/perma-id/w3id.org/tree/master/BCI-ontology] [ Permanent URI for the WWW] ] [ [Linked Open Vocabularies] [http://lov.okfn.org/dataset/lov/vocabs/bci] [ LOD community] ] [ [BioPortal] [http://bioportal.bioontology.org/ontologies/BCI-O] [ BioMedical community] ] ] ] Some early BCI-O applications are presented at <a class=""other the end of the spec."
BCS8	AJCC Cancer Staging Ontology - 8th Edition		
BCSR-ONTO	Breast cancer recommendation		This ontology representes the knowledge about existing recommendations of different guidelines elaborated to prevent breast cancer. Guidelines focus on women with intermediate or high risk of contracting breas cancer. The ontology also models results of applying different models to determine iof a given woman has an intermediate or a high risk of contracting the disease. Ie also represents risk factors that models consider to classify a woman into a risk level.
BCTEO			
BCTT			The Behaviour Change Technique Taxonomy
BDO	Bone Dysplasia Ontology		
BE			
BERO	Biological and Environmental Research Ontology		
BHN			Biologie Hors Nomenclature
BHO			
BIBLIOTEK-O	bibliotek-o: a BIBFRAME Ontology Extension		The bibliotek-o ontology extension defines additions and modifications to BIBFRAME and is intended to be used as a supplement to the core BIBFRAME ontology. In addition to the extension specification, bibliotek-o provides a set of recommended fragments from external ontologies and an application profile based on its recommended models and patterns. It is a joint product of the Mellon Foundation-funded Linked Data for Libraries Labs and Linked Data for Production projects. See http://ld4l.org for more information on these projects.
BIFO			
BIOMO			"Direct translation of the BIOM file format to OWL (http://biom-format.org/documentation/format_versions/biom-2.0.html). This ontology offers a general schema for BIOM data. A BIOM table would be an instance of any of the BIOMTable's subclasses. BIOM attributes not mapped directly: - format and format_url, since they would (redundantly) point to this ontology. - id: the id of the table would be the (preferably HTTP resolvable) URI of the biom table instance. - type: this information is codified as the Table Class, ie the biom table instance belongs to its ""type"" class (OTU table, Gene table, ...). Most of the HDF5 groups and datasets are not mapped, since are not necessary: only the data and indices datasets for samples and observations are mapped. The metadata mapping is dependant on each table, since any JSON object can be defined. The metadata should, in any case, refer to the observation and sample instances (see ""is about"" property). For an example of the mapping, see BIOM_example_table.owl"
BIOMODELS			
BIOPAX			This is version 1.0 of the BioPAX Level 3 ontology. The goal of the BioPAX group is to develop a common exchange format for biological pathway data. More information is available at http://www.biopax.org. This ontology is freely available under the LGPL (http://www.gnu.org/copyleft/lesser.html).
