prefix	name	homepage	description
AEO	Agricultural Experiments Ontology	http://lovinra.inra.fr/	AEO is an ontology aimed to represent objects related to agricultural practices.
AFEO	Agri-Food Experiment Ontology	http://opensilex.org/vocabulary/2016/v1/afeo.owl	The Agri-Food Experiment Ontology (AFEO), a new ontology network was developed based on two existing ontology resources, i.e., OAE (Ontology for Agriculture Experiment) and OFPE (Ontology for Food Processing Experiment).
AFO	Agriculture and Forestry Ontology		The Agriculture and Forestry Ontology (AFO) is based on the Agriforest thesaurus maintained by the Viikki Campus Library, University of Helsinki. The combination of AFO and the Finnish General Upper Ontology YSO has been created in the FinnONTO project by the Viikki Science Library in cooperation with the Semantic Computing Research Group. The ontology was created by aligning the Agriculture and Forestry Ontology with the Finnish General Upper Ontology (YSO) using the top ontology and other modelling principles of YSO. This way the equivalent and differing concepts and their links to more general concepts could be explicitly described. This combination of ontologies can be used for describing resources especially in domain of agriculture, forestry, veterinary medicine, food science, environmental science and biology.
AGFOOD	Agri-food vocabulary	http://www.inist.fr	"This bilingual vocabulary contains 3117 concepts covering the domains of agri-food science and technology, ranging ""from farm to table"", as well as nutritional and environmental aspects, taking into account the ongoing agricultural and food transition. The terminology is enriched with a large number of alternative entries (3230 in English or French) and hidden terms for easy searching., Ce vocabulaire bilingue comprend 3117 concepts des domaines de la science et de la technologie agroalimentaire, allant « de la ferme à la table », ainsi que des aspects nutritionnels et environnementaux, tenant compte de la transition agricole et alimentaire en cours. La terminologie est enrichie d’un grand nombre d’accès synonymes (3230 en français ou en anglais) et de formes cachées facilitant la recherche. Il est aligné avec l’ontologie FoodOn., taking into account the ongoing agricultural and food transition. The terminology is enriched with a large number of alternative entries (3230 in English or French) and hidden terms for easy searching. It has been aligned with the FoodOn ontology., Este vocabulario bilingüe (francés e inglés) contiene 3117 conceptos que abarcan los ámbitos de la ciencia y la tecnología agroalimentarias, que van ""de la granja a la mesa"", así como aspectos nutricionales y medioambientales, teniendo en cuenta la transición agrícola y alimentaria en curso. La terminología se enriquece con un gran número de entradas alternativas (3230 en francés o inglés) y términos ocultos para facilitar la búsqueda. Se ha alineado con la ontología FoodOn."
AGRONTOLOGY	AgrOntology	https://www.fao.org/agrovoc/agrontology	Agrontology is the Web Ontology Language (OWL) vocabulary providing a set of domain properties to the AGROVOC thesaurus.
AGRORDF	AGRORDF	http://www.openagramap.org	agroXML is an XML dialect for representing and describing farm work. It provides elements and XML data types for representing data on work processes on the farm including accompanying operating supplies like fertilizers, pesticides, crops and the like. It can be used within farm management information systems as a file format for documentation purposes but also within web services and interfaces between the farm and external stakeholders as a means to exchange data in a structured, standardized and easy to use way. It covers topics relevant to on farm activity including “crop”, “cropSpecies”, “chemical substance”, “harvestDate”, “enginePower”. There exists an XML version and an RDF version.
AHOL	Animal Health Ontology for Livestock	http://www.atol-ontology.com/	AHOL définit et organise les caractères phénotypiques des animaux d’élevage, en prenant en compte les préoccupations sociétales et les grands types de production (lait, œuf, viande, fertilité, alimentation)., AHOL (Animal Health Ontology for Livestock) is an ontology of characteristics defining phenotypes of livestock in their environment (EOL). AHOL aims to: - provide a reference ontology of phenotypic traits of farm animals for the international scientific and educational - communities, farmers, etc.; - deliver this reference ontology in a language which can be used by computers in order to support database management, semantic analysis and modeling; - represent traits as generic as possible for livestock vertebrates; - make the AHOL ontology as operational as possible and closely related to measurement techniques; - structure the ontology in relation to animal production
ALM	Agriculture and Livestock Metadata Elements Set	https://almescore.github.io/Almes-Core/	"The Agriculture and Livestock Metadata Elements Set (Almes Core) is a structured metadata schema designed to enhance the FAIRness (Findability, Accessibility, Interoperability, and Reusability) of agricultural price index datasets. Developed and maintained by the Almes Core Management Group, the schema provides a standardized vocabulary for describing datasets related to agriculture, commodities, and price indexes. The name ""Almes Core"" was chosen to reflect the schema’s broad and extensible design, allowing for future expansion into other agricultural domains beyond price index data."
ANAEETHES	AnaEE Thesaurus	https://www.anaee-france.fr	The AnaEE thesaurus aims to provide a controlled vocabulary for the semantic description of the study of continental ecosystems and their biodiversity. It has been developed within the framework of the AnaEE-France infrastructure through an iterative process combining both top down and bottom up approaches: import of concepts from other thesauri and collection of concepts used in the AnaEE data bases and/or modeling platforms.
ANDO	Animal Disease Ontology		L'ontologie des maladies animales est un référentiel de maladies touchant des animaux de rente et d'agents pathogènes ainsi que des relations qu'ils entretiennent. Ce référentiel est en français avec des équivalents anglais. Il contient plus de 500 couples maladie-hôtes et plus de 500 agents pathogènes associés. Il a été constitué au fil des ans par un travail de veille réglementaire à l'INRA., The Animal Diseases Ontology includes information on diseases of production animals and their related pathogenic agents in French and English. This version contains more than 500 pairs of host-disease and their more than 500 associated pathogens.
