prefix	name	homepage	description
10	Australian Public Affairs Information Service Thesaurus	http://www.nla.gov.au/apais/thesaurus/	The APAIS thesaurus lists the subject terms used to index articles for APAIS: Australian Public Affairs Information Service, a subject guide to literature in the social sciences and humanities. The APAIS thesaurus was introduced in 1978 when APAIS became available as an online database and was first published by the National Library of Australia in 1980 to facilitate online searching. While still primarily used as an indexing tool, the APAIS thesaurus is an essential aid for efficient online searching of the APAIS and Australian Public Affairs - Full Text databases. Besides serving the APAIS clients the published Thesaurus has been adopted in a number of wider projects that require a structured list of Australian subject terms, such as the recommendation for its use for subject indexing when using the Australian Government Locator Service metadata standard.
100	The Institute of Electrical and Electronics Engineers Thesaurus	http://www.ieee.org/publications_standards/publications/services/thesaurus_access_page.html	The IEEE Thesaurus is a controlled vocabulary of over 9,000 descriptive engineering, technical, and scientific terms as well as IEEE-specific society terms. The thesaurus represents terminology and vocabulary usage drawn from IEEE transactions and journal articles, conference papers, and standards. The vocabulary uses American-based spellings with cross references to British variant spellings. The scope and structure of the IEEE Thesaurus reflect the engineering and scientific disciplines that comprise the societies, councils, and communities of IEEE in addition to the technologies IEEE serves. The IEEE Thesaurus contains controlled vocabulary referred to as descriptors or preferred terms*. These descriptors are considered the preferred terms for index usage. Thesaurus construction is based on the ANSI/NISO Z39.19-2005 standard, Guidelines for the Construction, Format, and Management of Monolingual Controlled Vocabularies. Each descriptor included in the thesaurus represents a single concept or unit of thought. The scope of the descriptors is based on the material as presented in IEEE periodical articles, conference papers, standards, and/or IEEE organizational material. The IEEE Thesaurus is a tool to improve and enhance the indexing and retrieval of articles and other material from IEEE periodicals, conferences, standards, and other publications that are made available on IEEE Xplore. It provides a common and consistent language for authors, researchers and online discovery.
1000	Thesaurus for Gender Studies and Women	http://www.fcc.org.br/conteudosespeciais/tesauro/arquivos/TPEDGESM.pdf	Classification by subject headings, without the proper and constant reevaluations and updates made by experts from each field of study, tends to become a pile of words with little efficacy for the collection, storage and retrieval of documents. In the case of larger libraries, able to update their headline lists, this classification is valid, the library of a research institute with well-designed study programs should support its researchers with indexes based on specific thesauri.  In this sense, the thesaurus for gender studies and women presented below represents the appropriate instrument not only for a more precise indexing of collections on gender and women of any library, but also to facilitate access to information on the feminine condition , Or to expedite bibliographical surveys and possible mapping of gender studies.
1001	European Committee for Homeopathy Homeopathic Thesaurus	http://homeopathyeurope.org/thesaurus/	This controlled thesaurus of keyterms in homeopathy is for use when indexing literature on homeopathy and also when searching databases which have been indexed according to this list of terms. This thesaurus can be used in conjunction with the Amed Thesaurus from the British Library and the MeSH Medical Subject Headings from the National Library of Medicine, USA (used for Medline). It was developed as an addition to the Amed thesaurus to give greater depth of indexing for homeopathy, as there are only a few terms on homeopathy available in Amed. Terms in English have been translated into French, German and Italian to produce this multilingual edition of the thesaurus. However, the main language for this thesaurus remains English.
1002	GEODOK Thesaurus	http://www.geodok.uni-erlangen.de/	Thesaurus of the Geographical Literature Database GEODOK.
1003	British Columbia First Nations Subject Headings	https://xwi7xwa.library.ubc.ca/files/2011/09/bcfn.pdf	CAPs indicate Xwi7xwa subject headings. (LC) are Library of Congress subject headings. (other) are non-Xwi7xwa and non-Library of Congress subject headings.
1004		http://thesaurusbuilder.com/Downloads/	
1005	European Union multilingual Thesaurus	http://www.bizkaia.net/kultura/eurovoc/index.asp	Eurovoc is a multilingual thesaurus. As a thesaurus, it can be used to classify documents according to subject and, more specifically, to organise or classify the document database of the European Union and thus make consulting the database an easier task. Given that Eurovoc is a multilingual thesaurus (it has been translated into all the official languages of the European Union), it allows any user wishing to find a specific document to perform a search in their own language, even if the document is written in another. Furthermore, and considering that equivalences established between the various languages are stable and fixed, Eurovoc can also be considered a multilingual dictionary, thus helping considerably with translations generally as well as terminology standardisation. With the translation of Eurovoc, Basque has now placed itself at the same level as the official languages of the European Union.
1006	The thesaurus of the Parliament of Catalonia	http://www.parlament.cat/web/documentacio/recursos-documentals/tesaurus/index.html	The Eurovoc thesaurus is a multilingual, multidisciplinary prepared by the Parliament and the Office for Official Publications of the European Communities (OPOCE) that covers all areas of activity of the European Union and allows indexed documents that manage institutions Europe in order to facilitate their consultation. (...) in Spain, the thesaurus Eurovoc has been translated into Basque by the Provincial Council of Biscay, and Catalan, by the Parliament of Catalonia. If While the original purpose of the treatment was Eurovoc documentation generated by the Community institutions, the thesaurus is also a tool for multidisciplinary broad enough to cover the different national perspectives, with a very strong accent in all that concerns at parliamentary level. that is why, apart from European institutions such as the Parliament or the Office for Official Publications of the European Union, is also the instrument of falling ripció used by many national parliaments, regional and regional government and some from across the European Union. The international nature of the institution makes obviously Eurovoc thesaurus is multidisciplinary and multilingual, and you try and actually, it aconsegueix- a framework generic description theme in almost all areas, in one way or on the other, are common to any political institution in all its aspects (economic, social, agricultural, audiovisual, etc.). However, the same instrument thematic description can hardly meet the expectations of all international institutions to make use of. There are several factors (social, political, linguistic, geographical, etc.) that make the needs of each institution are different descriptive. Therefore, indexing language should be primarily serving the institution uses so it can meet the specific needs of information retrieval in the same administration and in general for all users. The Parliament of Catalonia, when the thesaurus Eurovoc translated into Catalan, chose to make its own development, with new descriptors and non-descriptors felt that there should be a needs index the institution and the new associative relations or explanatory notes seemed appropriate. Thus, since 2000, the thesaurus Eurovoc own development with the Parliament of Catalonia is the instrument description that is used to index all parliamentary initiatives, which facilitates you can very easily see the entire parliamentary activity that has taken place in the Catalan parliament.
1007	Glossary of the European Higher Education	http://www.upc.edu/slt/glosEEES/menu.php	The Glossary is a collection of the EHEA multilingual Catalan, Spanish, English and French keywords on the European Higher Education explained extensively from the documentation generated by this new reality. The aim of this material is to facilitate the understanding of European higher education and to be a useful resource for the writing and translation of educational documents generated within this framework.
