prefix	uri_format
	https://monarchinitiative.org/$1
2D-PAGE.PROTEIN	http://identifiers.org/2d-page.protein/$1
AGD	http://identifiers.org/agd/$1
APB	http://pb.apf.edu.au/phenbank/strain.html?id=$1
AQTLPub	https://www.animalgenome.org/cgi-bin/QTLdb/BT/qabstract?PUBMED_ID=$1
AQTLTrait	http://identifiers.org/animalqtltrait/$1
BNODE	https://monarchinitiative.org/.well-known/genid/$1
BT	http://c.biothings.io/#$1
catfishQTL	https://www.animalgenome.org/cgi-bin/QTLdb/IP/qdetails?QTL_ID=$1
cattleQTL	https://www.animalgenome.org/cgi-bin/QTLdb/BT/qdetails?QTL_D=$1
chickenQTL	https://www.animalgenome.org/cgi-bin/QTLdb/GG/qdetails?QTL_ID=$1
ClinVarSubmitters	http://www.ncbi.nlm.nih.gov/clinvar/submitters/$1
CLUSTR	http://identifiers.org/clustr/$1
CMMR	http://www.cmmr.ca/order.php?t=m&id=$1
CMR.GENE	http://identifiers.org/cmr.gene/$1
COGS	http://identifiers.org/cogs/$1
COGS.FUNCTION	http://identifiers.org/cogs.function/$1
CoriellCollection	https://catalog.coriell.org/1/$1
CoriellFamily	https://catalog.coriell.org/0/Sections/BrowseCatalog/FamilyTypeSubDetail.aspx?fam=$1
CoriellIndividual	https://catalog.coriell.org/Search?q=$1
CYGD	http://identifiers.org/cygd/$1
DATA	http://edamontology.org/data_$1
dbSNPIndividual	http://www.ncbi.nlm.nih.gov/SNP/snp_ind.cgi?ind_id=$1
dbVar	http://www.ncbi.nlm.nih.gov/dbvar/$1
EBIMETAGENOMICS.PROJ	http://identifiers.org/ebimetagenomics.proj/$1
EBIMETAGENOMICS.SAMP	http://identifiers.org/ebimetagenomics.samp/$1
EMMA	https://www.infrafrontier.eu/search?keyword=EM:$1
EOM	http://purl.obolibrary.org/obo/EOM_$1
FDADrug	http://www.fda.gov/Drugs/InformationOnDrugs/$1
FLYSTOCK	http://identifiers.org/flystock/$1
FUNCAT	http://identifiers.org/funcat/$1
GeneReviews	http://www.ncbi.nlm.nih.gov/books/$1
GINAS	http://tripod.nih.gov/ginas/app/substance#$1
GRO	http://purl.obolibrary.org/obo/GRO_$1
horseQTL	https://www.animalgenome.org/cgi-bin/QTLdb/EC/qdetails?QTL_ID=$1
IMPC	http://www.mousephenotype.org/data/genes/$1
IMPRESS-parameter	https://www.mousephenotype.org/impress/parameterontologies/$1
IMPRESS-procedure	https://www.mousephenotype.org/impress/procedures/$1
IMPRESS-protocol	https://www.mousephenotype.org/impress/protocol/$1
J	http://www.informatics.jax.org/reference/J:$1
KEGG-ds	http://purl.obolibrary.org/KEGG-ds_$1
KEGG-hsa	http://www.kegg.jp/dbget-bin/www_bget?hsa:$1
KEGG-ko	http://www.kegg.jp/dbget-bin/www_bget?ko:$1
MEROPS	http://identifiers.org/merops/$1
MONARCH	https://monarchinitiative.org/MONARCH_$1
MonarchArchive	https://archive.monarchinitiative.org/201806/$1
MonarchData	https://data.monarchinitiative.org/ttl/$1
MPD	https://phenome.jax.org/$1
MPD-assay	https://phenome.jax.org/db/qp?rtn=views/catlines&keymeas=$1
MPD-strain	http://phenome.jax.org/db/q?rtn=strains/details&strainid=$1
MUGEN	http://bioit.fleming.gr/mugen/Controller?workflow=ViewModel&expand_all=true&name_begins=model.block&eid=$1
NCIMR	https://mouse.ncifcrf.gov/available_details.asp?ID=$1
OMIA-breed	https://monarchinitiative.org/model/OMIA-breed:$1
PAINT_REF	http://www.geneontology.org/gene-associations/submission/paint/$1
PANTHER	http://www.pantherdb.org/panther/family.do?clsAccession=$1
PATHEMA	http://identifiers.org/pathema/$1
PGN	http://identifiers.org/pgn/$1
pigQTL	https://www.animalgenome.org/cgi-bin/QTLdb/SS/qdetails?QTL_ID=$1
rainbow_troutQTL	https://www.animalgenome.org/cgi-bin/QTLdb/OM/qdetails?QTL_ID=$1
RBRC	http://www2.brc.riken.jp/lab/animal/detail.php?brc_no=RBRC$1
RGDRef	http://rgd.mcw.edu/rgdweb/report/reference/main.html?id=$1
SCIENCESIGNALING.PATH	http://identifiers.org/sciencesignaling.path/$1
SCIENCESIGNALING.PDC	http://identifiers.org/sciencesignaling.pdc/$1
SCIENCESIGNALING.PIC	http://identifiers.org/sciencesignaling.pic/$1
SGD_REF	https://www.yeastgenome.org/reference/$1
sheepQTL	https://www.animalgenome.org/cgi-bin/QTLdb/OA/qdetails?QTL_ID=$1
TAIR	https://www.arabidopsis.org/servlets/TairObject?type=locus&id=$1
TrEMBL	http://purl.uniprot.org/uniprot/$1
ZFIN.EXPRESSION	http://identifiers.org/zfin.expression/$1
ZFIN.PHENOTYPE	http://identifiers.org/zfin.phenotype/$1
