prefix	name	homepage	description
APTO	Agriculture Product Types Ontology		The Agriculture Product Types Ontology (APTO) is an ontology of types, meaning it does not contain individuals and is intended as a classification system for agricultural commodities price index databases in Brazil. This ontology contains labels and comments in both Portuguese and English. There are two main modules: :Organism and :Product_type. The :Organism class contains subclasses that represent the taxonomy of species related to the production of given product types. It imports taxonomic information from the GBIF Backbone Taxonomy via API. The :Product_type class has six main subclasses organized into major groups: :Inorganic_compound :Animal_product :Plant_product :Raw_product :Processed_product :By-product The :Animal_product and :Plant_product classes include subclasses indicating the type of processing the product has undergone., meaning it does not contain individuals and is intended as a classification system for agricultural commodities price index databases in Brazil. This ontology contains labels and comments in both Portuguese and English. There are two main modules: :Organism and :Product_type. The :Organism class contains subclasses that represent the taxonomy of species related to the production of given product types. It imports taxonomic information from the Global Biodiversity Information Facility (GBIF) Backbone Taxonomy via API. The :Product_type class has six main subclasses organized into major groups: :Inorganic_compound :Animal_product :Plant_product :Raw_product :Processed_product :By-product The :Animal_product and :Plant_product classes include subclasses indicating the type of processing the product has undergone.
BIOBANK	AMMOD Metabarcoding Ontology		The ontology used by the Metabarcoding team of the AMMOD project. The taxonomic list is extracted from the metabarcoding processed data file provided by Amelie Kirse.
BIOL	Biological Taxonomy Vocabulary 0.2 (Core)		An RDF vocabulary for the taxonomy of all forms of life
BOTANY	Biological Taxonomy Vocabulary 0.2 (Botany)		This is a specialist botanical variant of the Biological Taxonomy Vocabulary.
GDIM	Green Deal Information Model		Green Deal Information Model, based on AIM
IOC	AMMOD IOC World Bird List	https://www.worldbirdnames.org/	The ontology used by the Bioacoustic team of the AMMOD project. The taxonomic list and its usage description was provided by Benjamin Werner (Benjamin.Werner@mfn.berlin). IOC version is 10.1
KINGDOM	Kingdom Ontology	https://terminologies.gfbio.org/terminology/KINGDOM	"A controlled vocabulary (Terminology) for biological taxa ""Higher Classification - Kingdom (=Regnum)"". Based on GBIF and CoL."
LICENSE	License for metadata or images	https://uri.gbv.de/terminology/license/	License for metadata or images
LIT_I	The lithologs rock names ontology for igneous rocks	http://www.lithologs.net/skos/igneous_rocks/all	The lithologs ontology for igneous rocks provides SKOSified information on the classification of igneous rocks extracted from the IUGS recommendations published by Le Maitre (2002): Igneous rocks: a classification and glossary of terms.
LSLIFE	ELSEWeb Lifemapper Ontology	http://elseweb.cybershare.utep.edu/ontologies	The ELSEWeb Lifemapper ontology provides classes for describing biodiversity modelling services provided by Lifemapper. This project provides support for the ELSEWeb project(http://elseweb.cybershare.utep.edu/). website: http://elseweb.cybershare.utep.edu/ontologies email: nvillanuevarosales@utep.edu, The ELSEWeb Lifemapper ontology provides classes for describing biodiversity modelling services provided by Lifemapper. This project provides support for the ELSEWeb project(http://elseweb.cybershare.utep.edu/). website: http://elseweb.cybershare.utep.edu/ontologies email: nvillanuevarosales@utep.edu
METHODTYPE	Method Type Vocabulary	http://vocabulary.odm2.org/methodtype/	A vocabulary for describing types of Methods associated with creating observations. MethodTypes correspond with ActionTypes in ODM2. An Action must be performed using an appropriate MethodType - e.g., a specimen collection Action should be associated with a specimen collection method.
ORIBATIDA	Oribatida Ontology	https://terminologies.gfbio.org/terminology/ORIBATIDA	Working list: taxon names of the order Oribatida (moss- or beetle-mites).
PNTG	Phytobs Network Taxonomic Groupings		Phytoplankton Taxon Groupings and their descriptions, as used by the PHYTOBS-Network French National Observation Service
RECORDBASIS	GFBio Agreed Vocabulary for RecordBasis	https://terminologies.gfbio.org/terminology/RECORDBASIS	"A controlled vocabulary (Terminology) ""BasisOfRecords"" or ""RecordBasis"" (DwC: ""The specific nature of the data record.""). Based on GBIF/ DwC and BiNHum/ABCD."
RIVERS_DE	German River Names		A controlled vocabulary of the names of rivers in Germany and their connections, extracted from the Shape File provided by the environmental authority of the Federal Republic of Germany: Umweltbundesamt (UBA).
THYSANOPTERA	Thysanoptera Ontology		Working list: taxon names of the order Thysanoptera (Insecta).
TOP	Thesaurus of Plant Characteristics		The Thesaurus Of Plant characteristics (TOP), aims to harmonize and formalize concepts for plant characteristics widely used in ecology. TOP concentrates on two types of plant characteristics: traits and environmental associations. Characteristics are modelled as the ‘Quality’ of an ‘Entity’ used in the context of Open Biological Ontologies. Whenever possible, the Entities and Qualities are taken from existing terminology standards, mainly the Plant Ontology (PO) and Phenotypic Quality Ontology (PATO) ontologies. TOP provides names, definitions, units, synonyms and related terms for about 850 plant characteristics.
TRICHOPTERA	Trichoptera Ontology	https://terminologies.gfbio.org/terminology/TRICHOPTERA	Working list: taxon names of the order Trichoptera (caddisflies; Insecta).
