prefix	uri_format
apollo	https://github.com/GMOD/Apollo$1
COAR_RESOURCE	http://purl.org/coar/resource_type/$1
CTD	http://ctdbase.org/$1
DGIdb	https://www.dgidb.org/interaction_types$1
DOID-PROPERTY	http://purl.obolibrary.org/obo/doid#$1
gff3	https://github.com/The-Sequence-Ontology/Specifications/blob/master/gff3.md#$1
GOP	http://purl.obolibrary.org/obo/go#$1
gtpo	https://rdf.guidetopharmacology.org/ns/gtpo#$1
NBO-PROPERTY	http://purl.obolibrary.org/obo/nbo#$1
NCIT-OBO	http://purl.obolibrary.org/obo/ncit#$1
PHAROS	http://pharos.nih.gov$1
SEMMEDDB	https://skr3.nlm.nih.gov/SemMedDB$1
UBERGRAPH	http://translator.renci.org/ubergraph-axioms.ofn#$1
UBERON_CORE	http://purl.obolibrary.org/obo/uberon/core#$1
UBERON_NONAMESPACE	http://purl.obolibrary.org/obo/core#$1
UMLSSG	https://lhncbc.nlm.nih.gov/semanticnetwork/download/sg_archive/SemGroups-v04.txt$1
UO-PROPERTY	http://purl.obolibrary.org/obo/uo#$1
uspto-patent	http://www.uspto.gov/patent/grant/v1/$1
