prefix	name	homepage	description
ABD	Anthology of Biosurveillance Diseases	http://brd.bsvgateway.org/disease	Our disease ontology provides information on infectious diseases, disease synonyms, transmission pathways, disease agents, affected populations and disease properties. Diseases have been grouped into syndromic disease categories, such that programmers can look through relevant categories, as well as at specific diseases. Organisms, linked to both agents and populations, are structured hierarchically, to provide multiple levels of organism resolution. In addition, both disease transmission and relevant disease properties are available to search. Disease properties include tags like 'notifiable diseases' and 'economic importance' to flag particular disease characteristics that may be of interest, but are not captured elsewhere.
ACESO	Adverse Childhood Experiences Ontology		
ACGT-MO	Cancer Research and Management ACGT Master Ontology	http://www.ifomis.org/acgt	The intention of the ACGT Master Ontology (MO) is to represent the domain of cancer research and management in a computationally tractable manner.
ACVD_ONTOLOGY	Atherosclerotic Cerebrovascular Disease Ontology		
AD-CDO	Alzheimer's Disease Common Data Element Ontology for Clinical Trials		The Alzheimer’s Disease Common Data Element Ontology for Clinical Trials (AD-CDO) is a semantically enriched, lightweight ontology designed to represent and standardize key eligibility criteria concepts in Alzheimer’s disease (AD) clinical trials. It bridges the gap between broad biomedical ontologies and the task-specific needs of trial modeling. AD-CDO was constructed by extracting high-frequency concepts from over 1,500 AD interventional trials registered on ClinicalTrials.gov. To balance coverage with manageability, the ontology utilizes the Jenks Natural Breaks method to identify the most representative concepts. The key feature of AD-CDO is its extensive mapping to standardized biomedical vocabularies to support data integration and phenotyping.
AD-DROP	Alzheimer Disease Relevance Ontology by Process		Alzheimer Disease Relevance Ontology by Process (AD-DROP) aimed at classifying Disease Relevant Process according to their specificity, frequency and pathogenic intensity properties toward AD
ADALAB	AdaLab ontology		AdaLab ontology
ADALAB-META	AdaLab-meta ontology		
ADAR	Autism DSM-ADI-R ontology		The autism DSM-ADI-R (ADAR) ontology extends an ontology by Tu et al. with additional SWRL rules to infer phenotypes from ADI-R items. It includes OWL class definitions representing DSM IV diagnostic criteria for autistic disorder and ASD criteria for Autism Spectrum Disorder OWL Reasoners can thus infer autism-related phenotypes from ADI-R questionnaire results Tu SW, Tennakoon L, Connor MO, Das A. Using an Integrated Ontology and Information Model for Querying and Reasoning about Phenotypes : The Case of Autism. AMIA Annu Symp Proc 2008;727–31
ADHER_INTCARE_EN	Adherence and Integrated Care		This ontology includes concepts in English related to adherence to therapeutic plans in the context of integrated care. Includes maps with Snomed CT, bibliographic references and definitions from the Dictionary of the Royal Academy of Medicine of Spain. Ontology developed with the support of the project StandICT.eu. The equivalent ontology in Spanish is ADHER_INTCARE_SP.
ADHER_INTCARE_SP	Adherence and Integrated Care in Spanish		
ADICAP	Association pour le Développement de l'Informatique en Cytologie et Anatomie Pathologique		
ADMF	alzhaimer dessiese main factors		
ADMIN	Nurse Administrator		This is an ontology showing a nurse administrator's process domain
ADMO	Alzheimer Disease Map Ontology		
AGROCYMAC	Control y Monitoreo de afecciones en los cultivos		Agrocymac es una ontología creada para estructurar información sobre el control y monitoreo de plagas, malezas y enfermedades que afectan específicamente a los cultivos de Arroz, Café y Cacao.
AGROMOP	Control de Cacao		
