prefix	name	description
FAIRsharing.000add	PORTULAN CLARIN repository	PORTULAN CLARIN is the Research Infrastructure for the Science and Technology of Language, belonging to the Portuguese National Roadmap of Research Infrastructures of Strategic Relevance, and part of the international research infrastructure CLARIN ERIC. The PORTULAN CLARIN repository ensures the preservation and fostering of the scientific data regarding the Portuguese language, supporting the preservation, promotion, distribution, sharing and reuse of language resources for this language, including text collections, lexicons, processing tools, etc.
FAIRsharing.00873e	ChecklistBank	"ChecklistBank (CLB) is a repository and workbench for taxonomic datasets that allows users to publish, discover, compare and manage species checklists in a variety of formats. Co-developed by GBIF and the Catalogue of Life and hosted by GBIF, ChecklistBank is a public-facing evolution of the internal system (also called ""checklist bank"") that has driven the GBIF species API. The new system's backend (Java) and frontend (JS React) source code are managed in GitHub."
FAIRsharing.00925c	Pig Expression Data Explorer	PEDE (Pig EST Data Explorer) is a database of porcine cDNA and expressed sequence tag (EST) sequences. It provides access to pig gene information, SNPs, and sequence data useful for genetic and functional studies. Researchers can search by gene, perform homology searches, and retrieve clone details.
FAIRsharing.00adc9	Library of Congress Subject Headings Supplemental Vocabularies: Children’s Headings	The Library of Congress Subject Headings Supplemental Vocabularies: Children’s Headings (LCSHAC) is a thesaurus which is used in conjunction with LCSH. It is not a self-contained vocabulary, but is instead designed to complement LCSH and provide tailored subject access to children and young adults when LCSH does not provide suitable terminology, form, or scope for children.
FAIRsharing.00cae0	Mycobrowser	Mycobrowser (Mycobacterial browser) is a comprehensive genomic and proteomic data repository for pathogenic mycobacteria. It provides manually-curated annotations and appropriate tools to facilitate genomic and proteomic study of these organisms.
FAIRsharing.00dfd8	Advanced Spaceborne Thermal Emission and Reflection Radiometer	ASTER Data is generated as a result of the collaboration between US and Japan space program where thermal and sensing imaging technology used to create detailed maps of land surface temperature, reflectance, and elevation. Scientist can freely use this information to inform geological research or the Earth.
FAIRsharing.00f4c6	The COVID-19 and Cancer Consortium	CCC19 is a consortium of over 120 cancer centers and other organizations who have come together to collect data about patients with cancer who have been diagnosed with COVID-19.
FAIRsharing.01c97b	AuScope Data Repository	The AuScope Data Repository is dedicated to the preservation and continuous accessibility of geoscientific data generated by Australia's geoscience community, addressing fundamental geoscience inquiries and overarching challenges such as climate change, natural resource security, and natural hazards.
FAIRsharing.01d14a	International Traditional Medicine Clinical Trial Registry	The ISRCTN registry is a primary clinical trial registry recognised by WHO and ICMJE that accepts all clinical research studies (whether proposed, ongoing or completed), providing content validation and curation and the unique identification number necessary for publication. All study records in the database are freely accessible and searchable.
FAIRsharing.01e983	Thésaurus Pactols	Created between 1985 and 1987 to index the CNRS-Frantiq network library catalogue, the Pactols thesaurus is a controlled, standardised and multilingual vocabulary, freely accessible and interoperable. Its name comes from its first version : Peuples et Cultures, Anthroponymes, Chronologie relative, Toponymes, Oeuvres, Lieux, Sujets. It is managed with the Opentheso free software. It has evolved to gradually meet the needs of enriching archaeological research data. It is updated regularly. It is organised into two micro-thesauruses: - Subjects (approx. 13,000 concepts) relating to archaeology and the Classics; - Places (+50,000 concepts) for locating archaeological sites and their natural environment. Used by libraries, archives, scientific journals and scientific resources to enrich thematic metadata, it is now a reference system included in the web of data. It is part of the controlled vocabulary aligned on the linked data cloud.
FAIRsharing.027f17	Alberta Geological Survey Open Data Portal	The Alberta Geological Survey (AGS) Open Data Portal features a subset of Geographic Information Systems (GIS) data related to the geology of the province of Alberta and published by the AGS. The AGS delivers geoscience in several key areas; including surficial mapping, bedrock mapping, geological modelling, resource evaluation (hydrocarbons, minerals), groundwater, and geological hazards.
FAIRsharing.027fa0	Flanders Research Information Space	FRIS (Flanders Research Information Space) is a regional research information portal that aggregates and provides up-to-date metadata on publicly funded research in Flanders, including researchers, projects, publications and other outputs. It aims to increase the visibility of Flemish research, support networking and interdisciplinary collaboration, and serve as a resource for reporting, analysis and policymaking.
FAIRsharing.02a5b4	The Plastics-Active Enzymes Database	The PAZy database (Plastics-Active Enzymes Database) is an open repository of biochemically characterized enzymes that can act on and degrade synthetic plastics. It focuses only on experimentally verified plastic-active enzymes, excluding predicted or unverified ones, to support reliable research into plastic biodegradation.
