prefix	name	description
AgBase	AgBase resource for functional analysis of agricultural plant and animal gene products	
AGI_LocusCode	Arabidopsis Genome Initiative	Comprises TAIR, TIGR and MIPS
AGRICOLA_IND	AGRICultural OnLine Access	
AlphaFold	AlphaFold Protein Structure Database	
Alzheimers_University_of_Toronto	Alzheimers Project at University of Toronto	
Animal_CorrDB	CorrDB	A database with curated publicly available trait correlation and inheritability data in livestock animal species. The link ID is called The link ID is called Corr_ID on CorrDB data downloads.
Animal_QTLdb	QTLdb	A database with curated publicly available trait mapping data (QTL and SNP associations) in livestock animal species. The link ID is called QTL_ID on QTLdb data dpownloads.
APweb	Angiosperm Phylogeny Website	
ARUK-UCL	Alzheimers Research Gene Ontology Initiative	
AspGD_REF	Aspergillus Genome Database	
BHF-UCL	Cardiovascular Gene Ontology Annotation Initiative	The Cardiovascular Gene Ontology Annotation Initiative is supported by the British Heart Foundation (BHF) and located at University College London (UCL).
CACAO	Community Assessment of Community Annotation with Ontologies	The Community Assessment of Community Annotation with Ontologies (CACAO) is a project to do large-scale manual community annotation of gene function using the Gene Ontology as a multi-institution student competition.
CAFA	Critical Assessment of Protein Function Annotation	
CASGEN	Catalog of Fishes genus database	
CASREF	Catalog of Fishes publications database	
CGD_LOCUS	Candida Genome Database	
CGD_REF	Candida Genome Database	
CO_125	Crop Ontology CGIAR Musa Anatomy	
COG_Function	NCBI COG function	
CollecTF	Database of transcription factor binding sites (TFBS) in the Bacteria domain	
cribi_vitis	Vitis CRIBI database	
DDBJ	DNA Databank of Japan	
dictyBase_gene_name	dictyBase	
dictyBase_REF	dictyBase literature references	
DTU	DTU Health Tech Services	Formerly CBS (Center for Biological Sequence Analysis)
EcoCyc_REF	Scientific database for the bacterium Escherichia coli K-12 MG1655	
EMBL	EMBL Nucleotide Sequence Database	International nucleotide sequence database collaboration, comprising EMBL-EBI nucleotide sequence data library (EMBL-Bank), DNA DataBank of Japan (DDBJ), and NCBI GenBank
ENSEMBL_GeneID	Ensembl database of automatically annotated genomic data	
ENSEMBL_ProteinID	Ensembl database of automatically annotated genomic data	
ENSEMBL_TranscriptID	Ensembl database of automatically annotated genomic data	
EnsemblPlants	Ensembl Plants, the Ensembl database for accessing genome-scale data from plants.	
EnsemblProtists	Ensembl Protists, the Ensembl database for accessing genome-scale data from protists.	
ENZYME	Swiss Institute of Bioinformatics enzyme database	
EuPathDB	The Eukaryotic Pathogen Database	
Eurofung	Eurofungbase community annotation	
Gene3D	Domain Architecture Classification	
Genesys-pgr	Gene DB, Genesys	
GO_Central	GO Central	Manual annotation from PAINT curators into the UniProt Protein2GO curation tool.
GO_Noctua	GO Noctua	Manual annotation derived from LEGO annotations
GOC	Gene Ontology Consortium	
GOC-OWL	Gene Ontology Consortium - Logical inferences	
GONUTS	Gene Ontology Normal Usage Tracking System (GONUTS)	Third party documentation for GO and community annotation system.
GR	Gramene	
GR_Ensembl	Gramene	
GR_MUT	A Comparative Mapping Resource for Grains	
GR_REF	Gramene	
GRINDesc	Germplasm Resources Information Network	
H-invDB	H-invitational Database	
H-invDB_cDNA	H-invitational Database	
H-invDB_locus	H-invitational Database	
