prefix	name	alt_name	homepage
nbdc00001	Integbio Database Catalog		https://integbio.jp/dbcatalog/?lang=en
nbdc00002	3DinSight		http://gibk26.bio.kyutech.ac.jp/jouhou/3dinsight/3DinSight.html
nbdc00003	5'SAGE	5'-end serial analysis of gene expression database	http://5sage.gi.k.u-tokyo.ac.jp/
nbdc00005	Animal Search System		http://www2.brc.riken.jp/lab/animal/search.php
nbdc00006	Arch GeNet	Archaeal Gene Network	http://riodb.ibase.aist.go.jp/db067/
nbdc00007	ARCHAIC	Archaebacterial Information Collection	http://riodb.ibase.aist.go.jp/archaic/ARCHAIC.html
nbdc00008	ArkDB		http://www.thearkdb.org/arkdb/
nbdc00010	ARTADE	ARabidopsis Tiling-Array-based Detection of Exons	http://omicspace.riken.jp/ARTADE/
nbdc00011	Aspergillus oryzae EST DataBase		http://nribf21.nrib.go.jp/EST2/
nbdc00012	Atlas of Genetics and Cytogenetics in Oncology and Haematology		http://atlasgeneticsoncology.org/
nbdc00013	Barley DB	Barley Bioresource Database	http://earth.lab.nig.ac.jp/~dclust/cgi-bin/index.cgi?lang=en
nbdc00014	BDGP	Berkeley Drosophila Genome Project	http://www.fruitfly.org/
nbdc00015	Biomolecules Gallery		http://dna00.bio.kyutech.ac.jp/image/gallery.html
nbdc00016	BioTermNet		http://btn.ontology.hgc.jp/
nbdc00017	Photographs of mutants in Bombyx mori		http://papilio.ab.a.u-tokyo.ac.jp/bioresource/shimada/mutant_photo.html
nbdc00018	Brain Atlas Database of Japanese Monkey for WWW.		http://riodb.ibase.aist.go.jp/brain/index.php
nbdc00019	The Comprehensive Enzyme Information System (BRENDA)		http://www.brenda-enzymes.info/
nbdc00020	BSORF	Bacillus subtilis Genome Database	http://bacillus.genome.jp/
nbdc00021	Cancer Chromosomes		http://www.ncbi.nlm.nih.gov/cancerchromosomes
nbdc00022	CARD R-BASE	Center for Animal Resources and Development Database	http://cardb.cc.kumamoto-u.ac.jp/transgenic/index.jsp
nbdc00025	CGED	Cancer Gene Expression Database	http://lifesciencedb.jp/cged/
