prefix	name	synonyms	description	example	pattern	uri_format
adda	Automatic Domain Decomposition Algorithm		ADDA, an automatic algorithm for domain decomposition and clustering of all protein domain families which uses alignments derived from an all-on-all sequence comparison to define domains within protein sequences based on a global maximum likelihood model.	215451	^\d+$	http://ekhidna.biocenter.helsinki.fi/sqgraph/pairsdb/report_sequence?nid=$1
affindb	Affinity Database for Protein-Ligand Complexes		The Affinity Database 'AffinDB' contains affinity data for protein-ligand complexes of the PDB. Its purpose is to provide direct and free access to the experimental affinity of a given complex structure.	5	^\d+$	
agd	Ashbya Genome Database		The Ashbya Genome Database (AGD) 3.0 is a genome/transcriptome database containing gene annotation and high-density oligonucleotide microarray expression data for protein-coding genes from Ashbya gossypii and the model organism Saccharomyces cerevisiae.	AGR144C	^AGR\w+$	http://agd.vital-it.ch/Ashbya_gossypii/geneview?gene=$1
alterorf	Alternate Open Reading Frame (ORF)		AlterORF provides a database of  such potentially mis-annotated ORFs. It has warehoused all alternate ORFs in fully sequenced microbial genomes that have   significant hits with  one or more of the protein features decribed in  CDD, COG, KOG, PFAM, PRK and SMART in which the corresponding annotated genes that have been deposited in the databases have no such characteristics.	NP_107992.1	^N[W/P]_\d+$	http://www.alterorf.cl/SearchResults/SearchResult.aspx?variable1=$1
anobase	AnoBase: the Anopheles Database		AnoBase is a database containing genomic/biological information on anopheline mosquitoes, with an emphasis on Anopheles gambiae, the world's most important malaria vector.	634	^\d+$	http://www.anobase.org/genetool/v42/gene.php?id=$1
antijen	AntiJen: a kinetic, thermodynamic and cellular database v2.0		AntiJen v2.0, is a database containing quantitative binding data for peptides binding to MHC Ligand, TCR-MHC Complexes, T Cell Epitope, TAP , B Cell Epitope molecules and immunological Protein-Protein interactions.  Most recently, AntiJen has included Peptide Library, Copy Numbers and Diffusion Coefficient data.	KPVSQMRMATPLLM	^[A-Z]+$	http://www.darrenflower.info/scripts/aj_scripts/aj_mhccalc2.pl?epitope=$1&AL=%25&ST=%25&CAT=MHC&detailinfo=no&detailmin=&detailmax=
aracxyls	AraC-XylS		A Database on a family of helix-turn-helix transcription factors from bacteria.	102	^\d+$	http://www.eez.csic.es/arac-xyls/wfichas/$1rec.htm
arkdb	ArkDB		The ArkDB database system aims to provide a comprehensive public repository for genome mapping data from farmed and other animal Species	ARKCHR00000087	^ARKCHR\d+$	http://www.thearkdb.org/arkdb/do/getMappableDetails?accession=$1
artadedb	ARabidopsis Tiling-Array-based Detection of Exons		ARTADE is a standard tool for the annotation of genome-wide tiling-array data in Arabidopsis.	At4g09320	^At\d[a-z]\d+$	http://omicspace.riken.jp/gps/index.html?url=/gps/LineMode/ArtadeSearch_Flower&hCheck=v200307&hHead=[?genomic_region]&highlight=$1
aspd	Artificial Selected Proteins/Peptides Database		ASPD (Artificial Selected Proteins/Peptides Database) is a curated database on selected from randomized pools proteins and peptides. Database access is realised by means of simple search system and SRS (Sequence Retrieval System). ASPD is integrated by means of hyperlinks with different databases (SWISS-PROT, PDB, PROSITE, ...).	PH1AB123	^PH1[A-Z]+\d+$	
atpid	Arabidopsis thaliana Protein Interactome Database		The AtPID (Arabidopsis thaliana Protein Interactome Database) represents a centralized platform to depict and integrate the information pertaining to protein-protein interaction networks, domain architecture, ortholog information and GO annotation in the Arabidopsis thaliana proteome.The Protein-protein interaction pairs are predicted by integrating several methods with the Naive Baysian Classifier.	AT2G36010	^AT\d+$	http://atpid.biosino.org/simple_detail.php?pro=$1
attedii	Arabidopsis thaliana trans-factor and cis-element prediction database		ATTED-II provides co-regulated gene relationships in Arabidopsis thaliana to estimate gene functions.	ATGGGCT	^[A-Z]+$	http://atted.jp/data/cis/$1.html
bacmap	BacMap: An Interactive Atlas for Exploring Bacterial Genomes		BacMap is an interactive visual database containing hundreds of fully labeled, zoomable, and searchable maps of bacterial genomes.  BacMap allows you to manually explore genomic maps with rotation and zoom options where map gene labels are hyperlinked to detailed textual annotations. Several charts illustrating the proteomic and genomic characteristics of each chromosome are also available.	NC_013356	^NC_\d+$	http://wishart.biology.ualberta.ca/BacMap/cgview_linked_maps/$1/index.html
bcipep	A database of B cell Epitopes		BCIpep is collection of the peptides having the role in Humoral immunity. The peptides in the database has varying measure of immunogenicity.This database can assist in the development of method for predicting B cell epitopes, desigining synthetic vaccines and in disease diagnosis.	10336	^\d+$	
bcsdb_glycoscience	Bacterial Carbohydrates Structure Database		This database is aimed at provision of structural, bibliographic, taxonomic and related information on bacterial carbohydrate structures.	124	^\d+$	
benchmark	Protein Classification Benchmark Collection		The Protein Classification Benchmark Collection was created in order to create standard datasets on which the performance of machine learning methods can be compared.	PCB00001	^PCB\d+$	http://net.icgeb.org/benchmark/index.php?experiment=$1
bged	Brain Gene Expression Database		The database contains gene expression data for various physiological and pathological processes in mouse brain. All the data have been obtained by adaptor-tagged competitive PCR, an advanced version of quantitative PCR.	[000000]1	^\d+$	http://genome.mc.pref.osaka.jp/cgi-bin/BGED/Gene_info.pl?num=$1
bgi.ris	Beijing Genomics Institute Rice Information System		In BGI-RIS, sequence contigs of Beijing indica and Syngenta japonica have been further assembled and anchored onto the rice chromosomes. The database has annotated the rice genomes for gene content, repetitive elements, and SNPs. Sequence polymorphisms between different rice subspecies have also been identified.	BGIOSSBCE000001.1	^BGI\a+\.\d$	
bid	Binding Interface Database Wiki		The Binding Interface Database (BID) is structured to organize vast amounts of protein interaction information into tabular form, graphical contact maps, and descriptive functional profiles. Detailed protein descriptions, interaction descriptions, bond formation, and the strength of each amino acid's contribution to binding were systematically obtained by mining the primary literature containing alanine scanning and site-directed mutations.	Collagen	^[A-Z]+$	http://tsailab.org/wikiBID/index.php/$1
