prefix	name	homepage	description
r3d100000001	Odum Institute Archive Dataverse	https://dataverse.unc.edu/dataverse/odum	The Odum Institute Archive Dataverse contains social science data curated and archived by the Odum Institute Data Archive at the University of North Carolina at Chapel Hill. Some key collections include the primary holdings of the Louis Harris Data Center, the National Network of State Polls, and other Southern-focused public opinion data. Please note that some datasets in this collection are restricted to University of North Carolina at Chapel Hill affiliates. Access to these datasets require UNC ONYEN institutional login to the Dataverse system.
r3d100000002	Access to Archival Databases	https://aad.archives.gov/aad/	You will find in the Access to Archival Databases (AAD) resource online access to records in a small selection of historic databases preserved permanently in NARA. Out of the nearly 200,000 data files in its holdings, NARA has selected approximately 475 of them for public searching through AAD. We selected these data because the records identify specific persons, geographic areas, organizations, and dates. The records cover a wide variety of civilian and military functions and have many genealogical, social, political, and economic research uses. AAD provides: Access to over 85 million historic electronic records created by more than 30 agencies of the U.S. federal government and from collections of donated historical materials. Both free-text and fielded searching options. The ability to retrieve, print, and download records with the specific information that you seek. Information to help you find and understand the records.
r3d100000004	Datenbank Gesprochenes Deutsch	https://dgd.ids-mannheim.de/DGD2Web/jsp/Welcome.jsp	"The ""Database for Spoken German (DGD)"" is a corpus management system in the program area Oral Corpora of the Institute for German Language (IDS). It has been online since the beginning of 2012 and since mid-2014 replaces the spoken German database, which was developed in the ""Deutsches Spracharchiv (DSAv)"" of the IDS. After single registration, the DGD offers external users a web-based access to selected parts of the collection of the ""Archive Spoken German (AGD)"" for use in research and teaching. The selection of the data for external use depends on the consent of the respective data provider, who in turn must have the appropriate usage and exploitation rights. Also relevant to the selection are certain protection needs of the archive. The Archive for Spoken German (AGD) collects and archives data of spoken German in interactions (conversation corpora) and data of domestic and non-domestic varieties of German (variation corpora). Currently, the AGD hosts around 50 corpora comprising more than 15000 audio and 500 video recordings amounting to around 5000 hours of recorded material with more than 7000 transcripts. With the Research and Teaching Corpus of Spoken German (FOLK) the AGD is also compiling an extensive German conversation corpus of its own. !!! Access to data of Datenbank Gesprochenes Deutsch (DGD) is also provided by: IDS Repository https://www.re3data.org/repository/r3d100010382 !!!"
r3d100000005	UNC Dataverse	https://dataverse.unc.edu/	UNC Dataverse is a FAIR-aligned repository for archiving, sharing, and accessing research data of all kinds. Each dataverse within the larger repository contains a multitude of datasets, and each dataset contains descriptive metadata, data, and documentation. UNC Dataverse is hosted and managed by the Research Data Management Core, University of North Carolina at Chapel Hill.
r3d100000006	Archaeology Data Service	https://archaeologydataservice.ac.uk/	The ADS is an accredited digital repository for heritage data that supports research, learning and teaching with freely available, high quality and dependable digital resources by preserving and disseminating digital data in the long term. The ADS also promotes good practice in the use of digital data, provides technical advice to the heritage community, and supports the deployment of digital technologies.
r3d100000007	ESO Science Archive Facility	http://archive.eso.org/cms.html	The ESO/ST-ECF science archive is a joint collaboration of the European Organisation for Astronomical Research in the Southern Hemisphere (ESO) and the Space Telescope - European Coordinating Facility (ST-ECF). ESO observational data can be requested after the proprietary period by the astronomical community.
r3d100000011	The CEDA Archive	https://archive.ceda.ac.uk/	The Natural Environment Research Council's Data Repository for Atmospheric Science and Earth Observation. The Centre for Environmental Data Analysis (CEDA) serves the environmental science community through three data centres, data analysis environments, and participation in a host of relevant research projects. We aim to support environmental science, further environmental data archival practices, and develop and deploy new technologies to enhance access to data. Additionally we provide services to aid large scale data analysis.
r3d100000012	Biological and Chemical Oceanography Data Management Office	https://www.bco-dmo.org/	The Biological and Chemical Oceanography Data Management Office (BCO-DMO) is a publicly accessible earth science data repository created to curate, publicly serve (publish), and archive digital data and information from biological, chemical and biogeochemical research conducted in coastal, marine, great lakes and laboratory environments. The BCO-DMO repository works closely with investigators funded through the NSF OCE Division’s Biological and Chemical Sections and the Division of Polar Programs Antarctic Organisms & Ecosystems. The office provides services that span the full data life cycle, from data management planning support and DOI creation, to archive with appropriate national facilities.
r3d100000013	Blue Obelisk Data Repository	https://sourceforge.net/projects/blueobelisk/	The Blue Obelisk Data Repository lists many important chemoinformatics data such as element and isotope properties, atomic radii, etc. including references to original literature. Developers can use this repository to make their software interoperable.
r3d100000015	California Water CyberInfrastructure	http://bwc.lbl.gov/California/	<<<!!!<<< The repository is no longer available. 2021-01-25: no more access to California Water CyberInfrastructure >>>!!!>>>
r3d100000016	Canadian Astronomy Data Centre	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/	The Canadian Astronomy Data Centre (CADC) was established in 1986 by the National Research Council of Canada (NRC), through a grant provided by the Canadian Space Agency (CSA). Over the past 30 years the CADC has evolved from an archiving centre---hosting data from Hubble Space Telescope, Canada-France-Hawaii Telescope, the Gemini observatories, and the James Clerk Maxwell Telescope---into a Science Platform for data-intensive astronomy. The CADC, in partnership with Shared Services Canada, Compute Canada, CANARIE and the university community (funded through the Canadian Foundation for Innovation), offers cloud computing, user-managed storage, group management, and data publication services, in addition to its ongoing mission to provide permanent storage for major data collections. Located at NRC Herzberg Astronomy and Astrophysics Research Centre in Victoria, BC, the CADC staff consists of professional astronomers, software developers, and operations staff who work with the community to develop and deliver leading-edge services to advance Canadian research. The CADC plays a leading role in international efforts to improve the scientific/technical landscape that supports data intensive science. This includes leadership roles in the International Virtual Observatory Alliance and participation in organizations like the Research Data Alliance, CODATA, and the World Data Systems. CADC also contributes significantly to future Canadian projects like the Square Kilometre Array and TMT. In 2019, the Canadian Astronomy Data Centre (CADC) delivered over 2 Petabytes of data (over 200 million individual files) to thousands of astronomers in Canada and in over 80 other countries. The cloud processing system completed over 6 million jobs (over 1100 core years) in 2019.
r3d100000017	RNA Abundance Database	https://www.cbil.upenn.edu/RAD	<<<!!!<<< This repository is no longer available.  Due to changes in technology and funding, the RAD website is no longer available >>>!!!>>>
r3d100000018	Cell Centered Database	https://library.ucsd.edu/dc/collection/bb5940732k	"<<<!!!<<<  The Cell Centered Database is no longer on serice. It has been merged with ""Cell image library"": https://www.re3data.org/repository/r3d100000023 >>>!!!>>>"
r3d100000019	ESS-DIVE	https://ess-dive.lbl.gov/	The Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) is a data repository for Earth and environmental sciences. ESS-DIVE stores data generated from research funded by or related to the DOE’s Office of Science Biological and Environmental Research program (BER) under its Environmental Systems Science (ESS) activity. This include a variety of observational, experimental, modeling and other data products from a wide range of ecological and urban systems.
r3d100000020	Coastal Data Information Program	http://cdip.ucsd.edu/	The Coastal Data Information Program (CDIP) is an extensive network for monitoring waves and beaches along the coastlines of the United States. Since its inception in 1975, the program has produced a vast database of publicly-accessible environmental data for use by coastal engineers and planners, scientists, mariners, and marine enthusiasts. The program has also remained at the forefront of coastal monitoring, developing numerous innovations in instrumentation, system control and management, computer hardware and software, field equipment, and installation techniques.
