prefix	name
cepo	Climate and Energy Policy Ontology
chameo	CHAracterisation MEthodology Ontology
constant	QUDT VOCAB Physical Constants Release 3.2.1
crmsci	CRMsci
datatype	QUDT Vocabulary of Datatypes v3.2.1
dcld	DataCite Metadata Schema 4.7
plsmo	Plasma Ontology
prefix	QUDT VOCAB Decimal Prefixes Release 3.2.1
qkdv	QUDT VOCAB Dimension Vectors Release 3.2.1
quantitykind	QUDT Quantity Kind Vocabulary Version 3.2.1
qudtdatatypeschema	QUDT SCHEMA - Datatypes
sargon2	SARGON2 Ontology
soqk	QUDT VOCAB Systems of Quantity Kinds Release 3.2.1
sou	QUDT VOCAB Systems of Units Release 3.2.1
unit	QUDT Vocab Units of Measure Release 3.2.1
