prefix	name	uri_format
AssemblyInsdc	Assembly INSDC	http://identifiers.org/insdc.gca/$1
AssemblyRefseq	Assembly RefSeq	http://identifiers.org/insdc.gca/$1
BioprojectUmbrella	BioProject umbrella	https://www.ncbi.nlm.nih.gov/bioproject?term=$1
EfoDisease	EFO disease	http://www.ebi.ac.uk/efo/EFO_$1
EnsemblGene	Ensembl gene	https://www.ensembl.org/id/$1
EnsemblProtein	Ensembl protein	http://identifiers.org/ensembl/$1
EnsemblTranscript	Ensembl transcript	http://identifiers.org/ensembl/$1
FlybaseGene	FlyBase gene	http://identifiers.org/fb/$1
FlybaseProtein	FlyBase protein	http://identifiers.org/fb/$1
FlybaseTranscript	FlyBase transcript	http://identifiers.org/fb/$1
Gea	GEA	https://ddbj.nig.ac.jp/public/ddbj_database/gea/experiment/E-GEAD-000/$1
GeoSample	GEO sample	http://identifiers.org/geo/$1
GeoSeries	GEO series	http://identifiers.org/geo/$1
Glycomotif	GlycoMotif	http://glycomotif.glyomics.org/glycomotif/GM.$1
HpInheritance	HP Inheritance	http://purl.obolibrary.org/obo/HP_$1
HpPhenotype	HP Phenotype	http://purl.obolibrary.org/obo/HP_$1
InsdcMaster	INSDC master	http://identifiers.org/insdc/$1
JgaDataset	JGA Dataset	http://ddbj.nig.ac.jp/resource/jga-dataset/$1
JgaStudy	JGA Study	http://ddbj.nig.ac.jp/resource/jga-study/$1
LncbookGene	LncBook gene	http://identifiers.org/lncbook/$1
MbgdGene	MBGD gene	http://mbgd.genome.ad.jp/rdf/resource/gene/$1
MbgdOrganism	MBGD organism	http://mbgd.genome.ad.jp/rdf/resource/organism/$1
MgiAllele	MGI allele	http://identifiers.org/mgi/MGI:$1
MgiGene	MGI gene	http://identifiers.org/mgi/MGI:$1
MgiGenotype	MGI genotype	http://identifiers.org/mgi/MGI:$1
NbdcHumanDb	NBDC Human Database	http://humandbs.biosciencedbc.jp/$1
NcitDisease	NCIt disease	http://purl.obolibrary.org/obo/NCIT_$1
NcitTissue	NCIt tissue	http://purl.obolibrary.org/obo/NCIT_$1
OmaGroup	OMA group	http://identifiers.org/oma.grp/$1
OmimGene	OMIM gene	http://identifiers.org/mim/$1
OmimPhenotype	OMIM phenotype	http://identifiers.org/mim/$1
OrphanetGene	Orphanet gene	http://identifiers.org/orphanet.ordo/Orphanet_$1
OrphanetPhenotype	Orphanet phenotype	http://identifiers.org/orphanet.ordo/Orphanet_$1
PrositeProrule	PROSITE ProRule	https://prosite.expasy.org/rule/$1
PubchemPathway	PubChem pathway	http://rdf.ncbi.nlm.nih.gov/pubchem/pathway/PWID$1
ReactomeReaction	Reactome reaction	http://identifiers.org/reactome/$1
RefseqGenomic	RefSeq genomic	http://identifiers.org/refseq/$1
RefseqProtein	RefSeq protein	http://identifiers.org/refseq/$1
RefseqRna	RefSeq RNA	http://identifiers.org/refseq/$1
SraAccession	SRA accession	https://www.ncbi.nlm.nih.gov/sra/$1
SraAnalysis	SRA analysis	https://www.ncbi.nlm.nih.gov/sra/$1
SraExperiment	SRA experiment	https://www.ncbi.nlm.nih.gov/sra/$1
SraProject	SRA project	https://www.ncbi.nlm.nih.gov/sra/$1
SraRun	SRA run	https://www.ncbi.nlm.nih.gov/sra/$1
SraSample	SRA sample	https://www.ncbi.nlm.nih.gov/sra/$1
Tair	TAIR	http://identifiers.org/tair.name/$1
WormbaseGene	WormBase gene	http://identifiers.org/wb/$1
XenbaseGene	Xenbase gene	http://identifiers.org/xenbase/$1
ZfinGene	ZFIN gene	http://identifiers.org/zfin/$1
ZfinTranscript	ZFIN transcript	http://identifiers.org/zfin/$1
