prefix	name	homepage	description	uri_format
P10003	Arachne.org.au ID	http://www.arachne.org.au/default.asp	numerical identifier for an arachnid taxon in the Arachne.org.au database	https://www.arachne.org.au/01_cms/details.asp?ID=$1
P10007	Birdata ID	https://birdata.birdlife.org.au/explore#map=-22.5083100_136.0786120_4	identifier for an bird species in the Birdata database	https://birdata.birdlife.org.au/explore#species_id=$1
P10022	Treccani's Dizionario di Medicina ID	https://www.treccani.it/enciclopedia/elenco-opere/Dizionario_di_Medicina	identifier for an item in the Dizionario di Medicina on the Institute of the Italian Encyclopaedia website	https://www.treccani.it/enciclopedia/$1_(Dizionario-di-Medicina)
P10064	NWT Species ID	https://www.gov.nt.ca/species-search/	identifier for a taxon in the Northwest Territories in the NWT Species database	https://www.gov.nt.ca/species-search/$1
P10094	AHPRA registration number	https://www.ahpra.gov.au/Registration/Registers-of-Practitioners.aspx	unique identifier of the registration of a person to practise a health profession within Australia	https://www.ahpra.gov.au/api/Search/GetPredictions?term=$1
P10095	FRACS Find a Surgeon profile ID	https://www.surgeons.org/en/Fellows/Find-a-surgeon	identifier of a Fellow of the Royal Australasian College of Surgeons in the Find a Surgeon database	https://www.surgeons.org/Profile/$1
P10115	Indonesian Hospital ID		hospital id from Board for Development and Empowerment Human Resources of Health, Indonesian Ministry of Health	https://sirs.kemkes.go.id/fo/home/profile_rs/$1
P10133	Russian Academy of Sciences person ID	http://www.ras.ru	identifier for a member of the Russian Academy of Sciences	https://web.archive.org/web/https:///www.ras.ru/win/db/show_per.asp?P=.id-$1.ln-ru
P10168	Zürich Herbaria collector ID	https://www.herbarien.uzh.ch/en/herbarien-zzt/sammlerliste.html	numerical identifier for a botanical collector in the Zürich Herbaria	https://www.herbarien.uzh.ch/de/herbarien-zzt/sammler-details.html?id=$1
P10191	All About Birds ID	https://www.allaboutbirds.org/guide/	identifier for a species on the All About Birds online guide	https://www.allaboutbirds.org/guide/$1/
P10219	CNSflora ID	https://cnsflora.de/saxifraga_sponhemica/sax_spon_index_collectorum.php?alle=alle	identifier for a person or an organization in the botanical database CNSflora	https://cnsflora.de/saxifraga_sponhemica/sax_spon_person_detail.php?id=$1
