#curie_map:
#  CHEMINF: http://semanticscience.org/resource/CHEMINF_
#  GO: http://purl.obolibrary.org/obo/GO_
#  bartoc: http://bartoc.org/en/node/
#  bioportal: http://bioportal.bioontology.org/ontologies/
#  bioregistry: https://bioregistry.io/registry/
#  cellosaurus: https://www.cellosaurus.org/CVCL_
#  edam: http://edamontology.org/
#  fairsharing: https://fairsharing.org/
#  integbio: https://catalog.integbio.jp/dbcatalog/en/record/
#  miriam: https://registry.identifiers.org/registry/
#  pathguide: http://www.pathguide.org/fullrecord.php?DBID=
#  prefixcommons: https://bioregistry.io/metaregistry/prefixcommons/
#  re3data: https://www.re3data.org/repository/
#  rrid: 'https://scicrunch.org/resolver/RRID:'
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#  togoid: https://togoid.dbcls.jp/ontology#
#  uniprot: http://purl.uniprot.org/uniprot/
#  wikidata: http://www.wikidata.org/entity/
#  xsd: http://www.w3.org/2001/XMLSchema#
#mapping_set_id: https://github.com/biopragmatics/bioregistry/raw/refs/heads/main/exports/analyses/mapping_checking/mapping_embedding_similarities.tsv
#mapping_set_title: Bioregistry Mapping Similarity Analysis
#license: https://creativecommons.org/publicdomain/zero/1.0/
#issue_tracker: https://github.com/biopragmatics/bioregistry/issues
#extension_definitions:
#- slot_name: parts_used
#  type_hint: xsd:string
#- slot_name: reference_text
#  type_hint: xsd:string
#- slot_name: mapping_text
#  type_hint: xsd:string
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	similarity_score	parts_used	reference_text	mapping_text
bioregistry:hgnc	HUGO Gene Nomenclature Committee	skos:exactMatch	aberowl:HGNC		semapv:LexicalMatching	0.514180958	description	HUGO Gene Nomenclature Committee The HGNC (HUGO Gene Nomenclature Committee) provides an approved gene name and symbol (short-form abbreviation) for each known human gene. All approved symbols are stored in the HGNC database, and each symbol is unique. HGNC identifiers refer to records in the HGNC symbol database. http://www.genenames.org	File Build Date: 22:04:2026 09:08:20
bioregistry:pmr.exposure	Physiome Model Repository	skos:exactMatch	aberowl:PMR		semapv:LexicalMatching	0.545811772	description	Physiome Model Repository Resource for the community to store, retrieve, search, reference, and reuse CellML models. https://www.auckland.ac.nz/en.html	Authors: Laia Subirats, Luigi Ceccaroni and Mireia Calvo - Eurecat (Technology Centre of Catalonia)
bioregistry:fossilworks.journal	Fossilworks Journal	skos:exactMatch	wikidata:P7720	P7720	semapv:LexicalMatching	0.54595387	name	Fossilworks Journal Identifier for a journal article in the fossilworks website http://fossilworks.org	P7720
bioregistry:bao	BioAssay Ontology	skos:exactMatch	aberowl:BAO		semapv:LexicalMatching	0.550491989	description	BioAssay Ontology The BioAssay Ontology (BAO) describes chemical biology screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis. http://bioassayontology.org	Contact:   Contact: Stephan Schurer stephan dot schurer at med dot miami dot edu
bioregistry:destatis.subject	Destatis subject classification	skos:exactMatch	tib:destf	"Destatis-Fächerklassifikation ""Personal an Hochschulen - Fächersystematik"""	semapv:LexicalMatching	0.557597339	name,description	Destatis subject classification A vocabulary of university course subjects https://github.com/VIVO-DE/destatis_faecherklassifikation	"Destatis-Fächerklassifikation ""Personal an Hochschulen - Fächersystematik"" Diese Ontologie basiert auf ""Statistisches Bundesamt (2018): Anhang Übersicht 1 - Fächergruppen, Lehr- und Forschungsbereiche, Fachgebiete - Stand 2017. In: Statistisches Bundesamt: Bildung und Kultur - Personal an Hochschulen. Fachserie 11 Reihe 4.4. S. 351. URL: https://www.statistischebibliothek.de/mir/servlets/MCRFileNodeServlet/DEHeft_derivate_00041050/2110440177004.pdf#%5B%7B%22num%22%3A1748%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22Fit%22%7D%5D (letzter Zugriff: 2022-10-12)."" In SKOS konvertiert von Tatiana Walther unter Mitwirkung von Christian Hauschke (Technische Informationsbibliothek (TIB) Hannover). Die Bezeichnungen und Inhalte der Fächersystematik sind unverändert."
bioregistry:semion	Semion author	skos:exactMatch	wikidata:P7671	P7671	semapv:LexicalMatching	0.574357629	name	Semion author Identifier of an author or reviewer in the Semion database (now defunct) 	P7671
bioregistry:ma	Mouse adult gross anatomy	skos:exactMatch	bartoc:1143	Classification Literature Middle Ages	semapv:LexicalMatching	0.582295656	name,description	Mouse adult gross anatomy A structured controlled vocabulary of the adult anatomy of the mouse (Mus) https://github.com/obophenotype/adult-mouse-anatomy-ontology	Classification Literature Middle Ages The Classification scheme of Literature of the Middle Ages from the University of Geneva is an internal classification system. It is employed by the Department of German Language and Literature.
bioregistry:hpc	High-Performance Computing Ontology	skos:exactMatch	hl7:2.16.840.1.113883.6.14	HCPCS	semapv:LexicalMatching	0.587870359	name,description	High-Performance Computing Ontology The HPC Ontology describes software, hardware, and artifacts in the domain of High-Performance Computing. It can be used to annotate training datasets and machine learning models used in HPC software analyses and optimizations. The goal is to make datasets and AI models FAIR. https://hpc-fair.github.io/ontology	HCPCS Healthcare Financing Administration (HCFA) Common Procedure Coding System (HCPCS). Is composed of three “levels”. Level I is CPT-4, level II is CDT-2, and level 3 are the HCPCS modifiers. Only the HCPCS modifiers are maintained by the Alpha-Numeric Editorial Panel, consisting of the Health Insurance Association of America and the Blue Cross and Blue Shield Association.
bioregistry:omim	Online Mendelian Inheritance in Man	skos:exactMatch	edam:1153	OMIM	semapv:LexicalMatching	0.594457388	name,description	Online Mendelian Inheritance in Man Online Mendelian Inheritance in Man is a catalog of human genes and genetic disorders. https://omim.org/	OMIM Identifier of an entry from the OMIM database.
bioregistry:reaxys	Reaxys	skos:exactMatch	edam:1003	Chemical registry number (Beilstein)	semapv:LexicalMatching	0.598132908	name,description	Reaxys Reaxys is a web-based tool for the retrieval of chemistry information and data from published literature, including journals and patents. The information includes chemical compounds, chemical reactions, chemical properties, related bibliographic data, substance data with synthesis planning information, as well as experimental procedures from selected journals and patents. It is licensed by Elsevier. https://www.reaxys.com	Chemical registry number (Beilstein) Beilstein registry number of a chemical compound.
bioregistry:pdb-ccd	Chemical Component Dictionary	skos:exactMatch	togoid:PdbCcd	PDB CCD	semapv:LexicalMatching	0.605788887	name	Chemical Component Dictionary The Chemical Component Dictionary is as an external reference file describing all residue and small molecule components found in Protein Data Bank entries. It contains detailed chemical descriptions for standard and modified amino acids/nucleotides, small molecule ligands, and solvent molecules. Each chemical definition includes descriptions of chemical properties such as stereochemical assignments, aromatic bond assignments, idealized coordinates, chemical descriptors (SMILES & InChI), and systematic chemical names. https://www.ebi.ac.uk/pdbe-srv/pdbechem/	PDB CCD
bioregistry:bind	BIND accession number	skos:exactMatch	pathguide:1	Biomolecular Interaction Network Database	semapv:LexicalMatching	0.607887745	name,homepage	BIND accession number Accession number of an entry from the BIND database. http://bind.ca	Biomolecular Interaction Network Database http://bond.unleashedinformatics.com/
bioregistry:rgd	Rat Genome Database	skos:exactMatch	edam:2620	RGD	semapv:LexicalMatching	0.616534233	name,description	Rat Genome Database Rat Genome Database seeks to collect, consolidate, and integrate rat genomic and genetic data with curated functional and physiological data and make these data widely available to the scientific community. This collection references genes. http://rgd.mcw.edu/	RGD Identifier of an entry from the RGD database.
bioregistry:pmr.exposure	Physiome Model Repository	skos:exactMatch	bioportal:PMR	Physical Medicine and Rehabilitation	semapv:LexicalMatching	0.623020232	name,description,homepage	Physiome Model Repository Resource for the community to store, retrieve, search, reference, and reuse CellML models. https://www.auckland.ac.nz/en.html	Physical Medicine and Rehabilitation Knowledge representation related to computer-based decision support in rehabilitation; concepts and relationships in the rehabilitation domain, integrating clinical practice, the ICD (specifically its 11th revision), the clinical investigator record ontology, the ICF and SNOMED CT. https://sites.google.com/site/laiasubirats
bioregistry:bila	Bilateria anatomy	skos:exactMatch	prefixcommons:4dxpress	4DXpress gene expression in major animals	semapv:LexicalMatching	0.62355566	name,description,homepage	Bilateria anatomy This is a record of the Bilateria anatomy terminology and ontology. We have been unable to find any further information about this resource. http://4dx.embl.de/4DXpress	4DXpress gene expression in major animals This database provides a platform to query and compare gene expression data during the development of the major model animals (zebrafish, drosophila, medaka, mouse). The high resolution expression data was acquired through whole mount in situ hybridsation-, antibody- or transgenic experiments. http://4dx.embl.de/4DXpress
