word	idf	rf_importance	lr_importance
database	1.6611	0.0249	-1.3302
analysis	2.6124	0.02	-1.9931
data	2.8106	0.019	3.8264
information	3.3864	0.0188	2.3387
http	3.4118	0.0161	1.7976
available	3.619	0.0161	1.6797
protein	3.8017	0.0142	2.044
study	3.0227	0.0121	-1.8535
www	3.7129	0.011	1.2216
new	3.556	0.0103	1.2378
web	3.8382	0.0102	1.3444
provides	3.8922	0.0101	1.2895
patients	3.2833	0.01	-1.7016
ontology	3.653	0.0099	0.8632
genome	3.675	0.0096	1.6076
using	3.2271	0.0084	-0.8638
resource	1.9318	0.0083	-0.6379
sequence	3.9739	0.0082	1.5878
annotation	4.0658	0.0081	1.4413
biological	4.1136	0.008	1.1309
including	4.0964	0.0076	0.7365
vocabulary	4.6063	0.0075	-2.0994
resources	4.2103	0.0068	1.2053
tools	3.9891	0.0065	0.9118
access	4.1729	0.0064	0.7616
gene	3.6403	0.0061	0.8022
research	3.69	0.006	1.0824
based	2.9347	0.006	-1.104
comprehensive	4.0521	0.0059	0.86
proteins	4.3984	0.0057	1.3297
provide	4.2361	0.0054	0.8334
org	3.7265	0.0054	1.3356
genetic	4.4864	0.0053	0.907
human	3.7187	0.0051	1.3253
project	4.4576	0.005	0.9008
databases	4.1428	0.005	1.2935
number	4.4138	0.0047	0.8054
contains	4.5602	0.0045	0.6668
national	3.5332	0.0044	-1.0377
outcomes	4.0227	0.0043	-1.0549
community	4.0227	0.0043	0.9366
seer	4.7868	0.0042	-0.9452
knowledge	4.4099	0.0042	0.8496
different	4.4698	0.0041	0.8089
used	4.0993	0.004	1.1104
users	4.6546	0.0039	0.6687
cancer	3.5743	0.0039	-1.1057
developed	4.3034	0.0038	0.8773
types	4.6899	0.0037	0.7273
interface	4.6696	0.0036	0.7145
open	4.4781	0.0036	0.6096
multiple	4.4335	0.0036	0.5406
learning	4.8212	0.0035	-1.1161
species	4.2459	0.0033	0.7326
repository	4.9325	0.0033	0.5994
functional	4.3719	0.0031	0.7265
model	3.8807	0.0031	0.5688
genes	4.1252	0.0031	0.5463
use	3.6155	0.003	0.0372
genomic	4.3461	0.0029	0.4481
accessible	4.7212	0.0029	0.4527
integrated	4.3757	0.0028	0.7216
literature	4.3832	0.0028	0.5638
carcinoma	5.1507	0.0028	-0.9264
present	4.7924	0.0028	0.424
molecular	4.3498	0.0027	0.7644
health	3.69	0.0027	-0.7317
curated	4.3832	0.0027	0.9087
structures	4.8271	0.0026	0.9407
drug	4.5162	0.0026	0.9354
tool	4.3719	0.0026	0.9201
relationships	5.0429	0.0025	0.5368
care	4.0097	0.0025	-0.851
terms	4.611	0.0025	0.8641
risk	4.3317	0.0025	-0.6188
organism	4.9003	0.0025	0.5838
search	4.4906	0.0024	0.6878
source	4.7002	0.0024	0.6412
ontologies	4.7425	0.0024	0.9813
models	4.6497	0.0024	0.7818
clinical	4.0227	0.0024	-0.5415
annotations	4.5647	0.0024	0.669
international	4.9862	0.0023	0.5138
recent	4.8389	0.0023	0.4999
chemical	4.9195	0.0023	0.9741
review	4.4177	0.0023	-0.5389
integration	4.4781	0.0022	0.4293
covid	4.1884	0.0021	-0.6622
structure	4.3946	0.0021	0.8846
cohort	4.5693	0.0021	-0.6833
associated	3.8968	0.0021	-0.5881
results	4.2999	0.0021	-0.3168
currently	4.857	0.0021	0.531
allows	5.0001	0.002	0.5244
unique	5.2444	0.002	0.4884
include	4.6696	0.002	0.5611
version	4.8692	0.002	0.6161
retrospective	4.2459	0.002	-0.9743
update	4.7265	0.0019	0.5972
agrovoc	8.5766	0.0019	0.4675
related	4.0227	0.0019	0.3615
children	4.8449	0.0019	-0.7914
reference	4.6797	0.0019	0.7326
mouse	5.2808	0.0019	0.8086
genomes	4.583	0.0019	0.8697
components	5.7582	0.0019	0.5165
domain	4.9793	0.0019	0.5716
nomenclature	4.4022	0.0019	-0.461
key	5.1838	0.0018	0.4405
scientific	4.863	0.0018	0.6365
interactions	4.8389	0.0018	0.8648
19	4.1194	0.0018	-0.5888
experimental	4.6399	0.0018	0.6008
standards	5.5809	0.0017	0.5453
function	4.7159	0.0017	0.5122
public	4.5468	0.0017	0.3058
set	4.6497	0.0017	0.5471
complex	4.939	0.0016	0.5749
large	3.9467	0.0016	0.0603
manually	4.9067	0.0016	0.5659
early	5.2624	0.0016	-0.9451
disease	3.9274	0.0016	0.6744
development	3.8945	0.0016	0.1095
biology	4.8154	0.0016	0.4451
researchers	4.926	0.0015	0.521
features	4.5876	0.0015	0.5733
https	5.1838	0.0015	0.4859
standardized	5.409	0.0015	0.5338
common	4.9862	0.0015	0.2825
lexicon	8.017	0.0015	0.3221
annotated	4.8753	0.0015	0.5688
sequences	4.4698	0.0015	1.0116
support	4.6206	0.0014	0.4294
cell	4.293	0.0014	0.4682
improved	4.926	0.0014	0.251
linked	5.4856	0.0014	0.3607
online	4.6254	0.0014	0.4709
impact	4.4335	0.0014	-0.4057
structural	5.2007	0.0014	0.4441
content	4.8877	0.0014	0.5043
experiments	5.2267	0.0014	0.4213
ac	5.1426	0.0014	0.4367
structured	5.409	0.0014	0.4451
providing	4.959	0.0013	0.4711
mortality	4.7265	0.0013	-0.6266
sugarbinddb	8.5766	0.0013	0.3985
non	4.4906	0.0013	-0.3732
medical	4.6848	0.0013	-0.1286
report	4.6646	0.0013	0.3813
description	5.2093	0.0013	0.3934
user	4.5693	0.0013	0.3022
families	5.2444	0.0013	0.7826
english	6.2252	0.0012	-0.8108
curation	4.9067	0.0012	0.5098
classification	4.7212	0.0012	0.6511
application	4.8815	0.0012	0.3338
wikidata	8.1711	0.0012	0.4554
representation	5.1754	0.0012	0.6988
coding	5.409	0.0012	0.601
prediction	4.9456	0.0012	-0.5175
addition	4.7054	0.0012	0.4153
single	4.8815	0.0012	0.4648
bioinformatics	4.9862	0.0011	0.3748
surgery	4.6448	0.0011	-0.5951
freely	4.8271	0.0011	0.5174
applications	5.1426	0.0011	0.4505
language	5.2624	0.0011	-0.3522
release	5.0001	0.0011	0.5002
framework	5.1507	0.0011	0.2853
specific	4.3757	0.0011	0.2405
factors	4.5513	0.0011	-0.1781
variety	5.4303	0.0011	0.3415
updated	4.8154	0.0011	0.5731
immune	5.7002	0.0011	-0.1727
claims	4.7924	0.0011	-0.7076
credit	7.6603	0.0011	0.4158
biomedical	4.8389	0.0011	0.6984
standard	5.1589	0.0011	0.4083
processes	5.2716	0.0011	0.3406
published	5.2355	0.001	0.4046
systems	4.6848	0.001	0.5127
methods	4.8753	0.001	0.1187
sequencing	5.1031	0.001	0.5283
individual	5.2007	0.001	0.1182
semantic	5.3282	0.001	0.0852
expanded	5.3379	0.001	0.3196
organisms	4.8509	0.001	0.4897
radiology	7.6603	0.001	0.3844
following	5.1031	0.001	-0.5675
sets	5.0954	0.001	0.4229
survival	4.7318	0.0009	-0.6515
existing	5.1266	0.0009	0.4255
known	5.2534	0.0009	0.4365
collection	4.8692	0.0009	0.5936
publishing	7.0725	0.0009	0.3487
taxonomy	5.7885	0.0009	0.2886
derived	5.0576	0.0009	0.363
repositories	6.1562	0.0009	0.4984
registry	5.7288	0.0009	0.2531
net	6.6671	0.0009	0.2408
novel	4.833	0.0009	0.1365
binding	5.5203	0.0009	0.4822
nationwide	4.6848	0.0009	-0.6866
japanese	5.3577	0.0009	-0.615
products	5.1838	0.0009	0.5115
limited	4.134	0.0009	-0.4948
creature	9.2698	0.0009	0.1931
flybase	6.4664	0.0009	0.4381
range	5.2355	0.0009	0.3612
method	5.3882	0.0009	0.3615
digital	5.8198	0.0009	0.4089
studies	4.6746	0.0009	0.6276
phenotype	5.0726	0.0009	0.7793
diseases	5.0213	0.0008	0.2324
saccharomyces	5.804	0.0008	0.6346
zebrafish	6.6307	0.0008	0.3857
quality	4.4061	0.0008	-0.0378
datasets	5.3282	0.0008	0.5315
extensive	5.5935	0.0008	0.3269
publicly	5.3282	0.0008	0.3641
intelligence	6.4664	0.0008	0.1943
important	5.0576	0.0008	0.5125
vision	7.398	0.0008	0.1197
wide	4.8692	0.0008	0.2987
sharing	5.6191	0.0008	0.3603
diversity	5.8686	0.0008	0.346
expression	4.5248	0.0008	0.4745
textual	6.744	0.0008	0.3123
includes	4.8753	0.0008	0.4413
evinacumab	9.2698	0.0008	-0.443
facilitate	4.8212	0.0008	0.4411
provided	5.0801	0.0008	0.4
rna	5.1589	0.0008	0.4398
2022	6.1128	0.0008	0.3257
pathway	5.4411	0.0008	0.3828
anatomics	9.2698	0.0008	0.2812
avoiding	8.3535	0.0008	0.2061
quite	8.017	0.0007	0.2555
cido	8.3535	0.0007	0.4032
disulfiram	9.2698	0.0007	-0.443
complete	4.9862	0.0007	0.4277
major	4.6448	0.0007	0.3712
association	4.894	0.0007	-0.7018
interaction	5.0576	0.0007	0.3571
functions	5.218	0.0007	0.0268
elements	5.497	0.0007	0.5996
pimavanserin	9.2698	0.0007	-0.443
ribocentre	8.8643	0.0007	0.2767
genomics	5.0429	0.0007	0.4196
efforts	5.4196	0.0007	0.3786
atogepant	9.2698	0.0007	-0.443
years	4.695	0.0007	0.189
smiles	8.1711	0.0007	0.395
rat	5.9556	0.0007	0.523
lines	6.2017	0.0007	0.5619
additional	5.2624	0.0007	0.3421
developing	5.5203	0.0007	-0.1114
000	4.7981	0.0007	0.3602
identification	4.8038	0.0007	-0.0824
linkml	9.2698	0.0007	0.3072
identified	5.409	0.0007	0.2235
services	5.2624	0.0007	0.379
describes	5.7288	0.0007	0.2956
subject	7.1297	0.0007	0.2748
software	4.9725	0.0007	0.5326
expressed	6.7048	0.0007	-0.1918
artificial	6.5617	0.0007	0.0776
heart	5.5562	0.0006	-0.4108
treatment	4.5076	0.0006	-0.3858
management	4.204	0.0006	-0.394
v1	8.017	0.0006	0.1388
multilingual	7.7657	0.0006	0.3653
real	4.833	0.0006	-0.3508
defined	5.3986	0.0006	0.3508
current	4.7589	0.0006	0.3874
guide	6.4664	0.0006	0.3032
therapy	5.3185	0.0006	-0.5186
drosophila	6.1562	0.0006	0.2345
edu	5.2995	0.0006	0.4455
reporting	5.5203	0.0006	-0.0555
cidofovir	9.2698	0.0006	-0.443
chemspider	9.2698	0.0006	0.1428
variation	5.3678	0.0006	0.3678
detailed	5.4743	0.0006	0.3445
semantics	6.8719	0.0006	0.2137
records	5.6862	0.0006	0.2134
article	5.7002	0.0006	0.3894
publications	5.7288	0.0006	0.2886
journal	6.274	0.0006	0.2185
education	5.804	0.0006	-0.4171
events	5.1589	0.0006	-0.2896
building	5.5441	0.0006	0.1623
adverse	4.9456	0.0006	-0.3875
world	4.4864	0.0006	-0.2796
make	5.4411	0.0006	0.332
visualization	5.3577	0.0006	0.3088
rare	6.352	0.0006	0.5614
technology	5.8198	0.0006	0.0529
high	4.2072	0.0006	0.2254
molecule	5.9556	0.0006	0.3653
computational	5.1838	0.0006	0.6208
low	3.9815	0.0006	-0.4646
improvements	5.218	0.0006	0.3803
breast	5.218	0.0006	-0.5817
consortium	5.3089	0.0006	0.2673
evolutionary	5.4856	0.0005	0.4144
classes	5.5809	0.0005	0.4331
acamprosate	9.2698	0.0005	-0.443
test	5.8854	0.0005	0.3263
inhibitors	5.9376	0.0005	-0.329
mimic	5.7885	0.0005	-0.3635
prescription	6.2993	0.0005	0.1449
metabolism	6.3253	0.0005	0.253
phenotypic	5.5562	0.0005	0.3471
links	5.2901	0.0005	0.2971
evaluation	4.939	0.0005	-0.1415
improve	5.1589	0.0005	0.2065
validation	5.2901	0.0005	-0.4037
retrieval	5.3185	0.0005	0.1928
microsomes	9.2698	0.0005	0.1962
milk	8.5766	0.0005	0.2662
increase	5.3089	0.0005	0.2909
experience	5.5086	0.0005	-0.4044
text	5.2007	0.0005	0.1413
congenital	6.5956	0.0005	0.072
ribozymes	8.8643	0.0005	0.2767
informatics	5.8358	0.0005	0.3824
respiratory	6.2252	0.0005	-0.1438
candida	8.017	0.0005	-0.4118
annotating	6.2493	0.0005	0.2362
epitope	7.6603	0.0005	-0.1681
dna	5.1346	0.0005	0.383
help	5.5441	0.0005	0.3071
entries	5.4411	0.0005	0.4042
quantitative	5.852	0.0005	0.1024
naming	7.3238	0.0005	0.0374
document	6.4664	0.0005	0.2851
bank	5.8358	0.0005	0.2912
archive	5.9376	0.0005	0.338
prognostic	5.5203	0.0005	-0.5859
small	4.9195	0.0005	0.406
website	5.0954	0.0005	0.4639
image	6.5289	0.0005	0.4354
lung	5.4411	0.0005	-0.394
described	5.3882	0.0005	0.4068
yeast	5.7434	0.0005	0.4433
type	5.0576	0.0005	0.1778
utilization	4.1078	0.0005	-0.4198
strategic	7.8835	0.0005	0.1506
enabling	6.1128	0.0005	0.3732
created	5.3882	0.0005	0.3595
acquisition	6.5289	0.0005	-0.2083
bacterial	5.5321	0.0005	0.4945
scale	4.7106	0.0005	0.2414
uveitis	8.1711	0.0005	0.0036
conclusion	7.6603	0.0005	0.1723
enable	5.452	0.0005	0.3118
effect	5.1589	0.0005	-0.4876
coverage	5.4631	0.0005	0.3058
site	5.0071	0.0005	0.3355
cardiovascular	6.0509	0.0005	-0.3234
aware	7.1903	0.0005	-0.3745
status	5.6454	0.0005	-0.2664
driven	5.6191	0.0005	-0.2487
doco	8.5766	0.0005	0.3476
headings	9.2698	0.0005	0.2741
hashtag	9.2698	0.0005	0.188
cerevisiae	6.0509	0.0004	0.3458
particular	5.4411	0.0004	0.3489
describing	5.804	0.0004	0.2981
knowledgebase	6.2017	0.0004	0.254
integrative	5.9025	0.0004	0.281
time	5.0071	0.0004	0.1084
generation	5.6322	0.0004	0.1217
assisted	6.1128	0.0004	-0.3062
cmdb	9.2698	0.0004	0.1905
sts	7.6603	0.0004	0.0581
improving	5.7288	0.0004	0.1737
bacteria	6.0917	0.0004	0.2004
feat	9.2698	0.0004	0.2134
transcription	5.9025	0.0004	0.4586
reviewed	6.3794	0.0004	0.2943
liver	5.8198	0.0004	-0.3699
glycan	7.398	0.0004	0.2793
past	5.6588	0.0004	-0.1524
predicted	5.6322	0.0004	0.3777
proteomics	5.8198	0.0004	0.4603
designed	5.4196	0.0004	0.3237
future	5.3185	0.0004	0.2762
scholarly	8.1711	0.0004	0.1394
ensembl	5.6191	0.0004	0.6343
mammalian	6.4076	0.0004	0.3488
acid	5.7002	0.0004	0.1931
raw	6.6671	0.0004	0.1486
way	5.6588	0.0004	0.166
interactive	5.5809	0.0004	0.3029
