word	idf	rf_importance	lr_importance
study	3.0026	0.03	-1.9901
analysis	2.7536	0.0269	-2.1053
database	1.734	0.0266	-0.9831
ontology	4.0118	0.0204	2.5512
vocabulary	4.7743	0.0183	-2.2596
patients	3.1915	0.0175	-1.7607
based	3.2717	0.0136	-1.5158
national	3.5162	0.0104	-1.1908
cancer	3.5378	0.0094	-1.1704
learning	4.7436	0.0086	-1.0735
protein	5.0788	0.0073	1.613
nomenclature	4.5765	0.0068	-0.809
data	3.8506	0.0066	1.1124
review	4.5512	0.0065	-0.7116
using	3.5469	0.0064	-0.9958
resource	1.9441	0.0063	-0.4546
outcomes	3.969	0.0061	-0.7844
early	5.2748	0.0052	-0.8567
human	4.4202	0.005	1.087
children	4.7436	0.0049	-0.6012
associated	4.197	0.0049	-0.8978
case	4.915	0.0044	-0.7471
surgery	4.5314	0.0043	-0.6512
care	3.9279	0.0042	-0.5923
nationwide	4.5714	0.0042	-0.7297
health	3.6968	0.0042	-0.5665
retrospective	4.1391	0.0041	-0.8021
english	6.266	0.004	-0.5655
prediction	5.3952	0.0039	-0.8389
claims	4.679	0.0038	-0.772
carcinoma	5.0455	0.0038	-0.7688
pimavanserin	9.1564	0.0037	-0.4603
tecovirimat	9.1564	0.0037	-0.4603
seer	4.6734	0.0036	-0.7036
association	4.9592	0.0036	-0.6482
evinacumab	9.1564	0.0035	-0.4603
gene	4.7436	0.0035	0.0125
genome	4.8389	0.0034	0.8396
brincidofovir	9.1564	0.0034	-0.4603
pulmonary	5.9994	0.0034	-0.552
language	5.8792	0.0034	-0.5161
disulfiram	9.1564	0.0033	-0.4603
cohort	4.4696	0.0031	-0.7154
clinical	4.1831	0.0031	-0.5344
risk	4.2511	0.0031	-0.6096
survival	4.6455	0.0029	-0.5417
following	5.2645	0.0029	-0.5565
information	5.1956	0.0029	1.1465
update	5.6154	0.0028	1.2016
mortality	4.6184	0.0028	-0.5645
cross	5.3277	0.0027	-0.3324
pharmacovigilance	5.601	0.0027	-0.5508
safety	5.5454	0.0027	-0.584
disease	4.2474	0.0027	0.8993
results	4.9369	0.0026	-0.5856
limited	4.0938	0.0026	-0.421
annotation	5.8983	0.0025	1.2933
japanese	5.2645	0.0025	-0.6623
words	7.4516	0.0025	-0.5809
proteins	6.0883	0.0024	1.1321
use	4.0969	0.0024	-0.4454
insights	5.4307	0.0024	-0.4475
role	5.532	0.0023	-0.502
primary	5.0873	0.0023	-0.5178
large	4.5817	0.0022	-0.2345
resources	5.9177	0.0022	0.9873
adverse	4.8867	0.0022	-0.2641
phenotype	6.0883	0.0022	1.1067
correction	6.0429	0.0021	-0.4433
knowledge	5.5188	0.002	0.5358
visual	6.714	0.002	-0.4078
reporting	5.8422	0.002	-0.5154
healthcare	4.3442	0.002	-0.4546
heart	5.532	0.002	-0.583
hospital	4.6847	0.002	-0.4663
total	5.8242	0.002	-0.4417
utilization	4.0147	0.002	-0.4883
comprehensive	5.0873	0.0019	0.6263
interaction	6.1118	0.0019	0.9295
therapy	5.2245	0.0019	-0.4449
anatomy	6.4483	0.0019	1.1176
treatment	4.4468	0.0019	-0.3936
immune	6.0653	0.0019	-0.411
covid	4.0938	0.0019	-0.5187
impact	4.4514	0.0018	-0.3719
function	6.5537	0.0018	-0.2924
prognostic	5.4187	0.0018	-0.5503
19	4.0875	0.0018	-0.5179
prevention	6.6715	0.0018	-0.4396
cardiac	5.8065	0.0018	-0.4549
japan	4.9223	0.0017	-0.4037
evaluation	5.0704	0.0017	-0.3136
research	4.5412	0.0016	0.6549
learners	7.5469	0.0016	-0.3602
states	5.1221	0.0016	-0.4044
new	5.0455	0.0016	-0.026
effectiveness	6.186	0.0016	-0.3403
