identifier	name	description	resources	contributor_names	contributor_orcids	maintainer_names	maintainer_orcids
0000001	"Resources mentioned in ""Sharing biological data: why, when, and how"""	These resources were listed in [Sharing biological data: why, when, and how](https://doi.org/10.1002/1873-3468.14067), which prompted further novel curation of the Bioregistry which included the addition of GenBank, Panorama Public, EMPIAR, and SSBD. It also prompted the curation of mappings to FAIRSharing when possible.	biostudies|bmrb.entry|cellimage|ega.dataset|ega.study|emdb|empiar|genbank|geo|idr|insdc.sra|massive|panorama|pdb|peptideatlas.dataset|pride|ssbd.dataset|ssbd.project	Charles Tapley Hoyt	0000-0003-4423-4370		
0000002	Semantic Web Context	Resources used in the semantic web, drawing from lists in [BioContext](https://github.com/prefixcommons/biocontext/blob/master/registry/semweb_context.yaml) and [LinkML](https://github.com/linkml/prefixmaps/blob/main/src/prefixmaps/data/linked_data.curated.yaml) as well as W3C recommendations.	ac|bibo|dc|dcat|dcterms|dctypes|doap|faldo|foaf|idot|oa|oboinowl|oslc|owl|pav|prov|qb|qudt|rdf|rdfs|schema|sh|shex|skos|skosxl|swrl|vann|void|xsd	Charles Tapley Hoyt	0000-0003-4423-4370		
0000003	ChEBI Data Sources	"The data sources used in xrefs in the ChEBI ontology. More information in the ""Data Sources"" section of [this document](https://docs.google.com/document/d/13_FqP_8qkDdw5RFv5qMYo7xRyfY4xUiuVtLn845A6Io/edit#heading=h.dkfn7xf53tpx)."	chebi|chemidplus|come|drugbank|ecmdb|eurofir|google.patent|hmdb|kegg.compound|kegg.drug|kegg.glycan|knapsack|lincs.smallmolecule|lipidmaps|metacyc.compound|molbase.sheffield|pdb|pdb-ccd|pesticides|resid|smid|umbbd.compound|webelements|ymdb	Charles Tapley Hoyt	0000-0003-4423-4370		
0000004	International Classifications of Diseases	This collection contains the many prefixes for the different repackaging of the International Classification of Diseases (ICD) throughout its major revisions.	icd10|icd10cm|icd10pcs|icd11|icd11.code|icd9|icd9cm|icdo	Charles Tapley Hoyt	0000-0003-4423-4370		
0000005	Allen Institute Ontologies	This collection contains various brain atlases from the Allen Institute.	dhba|dmba|hba|mba|pba	Charles Tapley Hoyt	0000-0003-4423-4370		
0000006	SPAR Ontologies	The [Semantic Publishing and Referencing (SPAR) Ontologies](http://www.sparontologies.net/ontologies) are a suite of orthogonal and complementary OWL 2 ontologies that enable all aspects of the publishing process to be described in machine-readable metadata statements, encoded using RDF.	bido|biro|c4o|cito|datacite|deo|doco|fabio|frapo|mito|pso|puro|pwo|scoro	Charles Tapley Hoyt	0000-0003-4423-4370		
0000007	Publication Provenance Prefixes	Prefixes useful in annotating documentation provenance.	arxiv|doi|pmc|pubmed	Charles Tapley Hoyt	0000-0003-4423-4370		
0000008	ASKEM Epidemiology Prefixes	Prefixes exported for the epidemiology domain knowledge graph in the ASKEM project.	bfo|caro|doi|doid|dso|hp|ido|oae|oboinowl|ovae|owl|pmc|pubmed|rdfs|ro|symp|trans|vo	Charles Tapley Hoyt	0000-0003-4423-4370		
0000009	FHIR External Terminologies	"Prefixes mentioned on the _external_ list on the FHIR [Code Systems](https://hl7.org/fhir/terminologies-systems.html) page. This list is mostly complete. Notably, some entries that have not been curated:

- HGVS (see discussion at [#460](https://github.com/biopragmatics/bioregistry/issues/460))
- [NUBC](http://www.nubc.org) (National Uniform Billing Committee) - could not find information about the terminology or its entries
- [ICPC](http://www.ph3c.org/) (International Classification of Primary Care) _same_
- [GTIN](https://www.gs1.org/standards/id-keys/gtin) (Global Trade Item Number) _same_
- [MDC](https://www.iso.org/standard/37890.html) (Medical Device Codes) since that appears to be part of a larger ISO standard vocabulary that needs further investigation"	atcc|clinicaltrials|clinvar.variation|cosmic.gene|cpt|cvx|dbsnp|dicom|dsm5|ensembl|hc.din|hc.npn|hgnc|hl7.v2codesystem|hl7.v3codesystem|icd10|icd9|icf|ietf.language|imgt.hla|iso.3166|loinc|lrg|ncit|ndc|ndfrt|nucc.taxonomy|omim|pharmgkb.gene|pubmed|radlex|refseq|rxnorm|snomedct|so|ucum|unii	Charles Tapley Hoyt	0000-0003-4423-4370		
0000010	Global Biodata Coalition - Global Core Biodata Resources	"The [Global Biodata Coalition](https://globalbiodata.org) released a [curated list](https://globalbiodata.org/scientific-activities/global-core-biodata-resources/) of 37 life sciences databases in December 2022 that they consider as having significant importance (see criteria [here](https://doi.org/10.5281/zenodo.5845116)). While it's not a primary goal of the Bioregistry to cover life science databases (other resources like Wikidata and [FAIRsharing](https://fairsharing.org) already do an excellent job of this), many notable databases induce one or more semantic spaces that are relevant for curation and prefix assignment in the Bioregistry. Therefore, a large number of the resources in this list correspond 1-to-1 with prefixes in the Bioregistry, a small number (e.g., Orphanet, CIViC, PharmGKB) correspond to multiple prefixes, some have a complicated relationship with many-to-1 relationships to prefixes (DNA Data Bank of Japan, European Nucleotide Archive), and some constitute databases that simply reuse other key vocabularies (e.g., STRING reuses UniProt, GWAS Catalog reuses dbSNP and EFO). Among the databases that don't induce semantic spaces or have simple relationships to prefixes are:

- [Clinical Genome Resource](https://www.clinicalgenome.org/) (uses HGNC, MONDO, PharmGKB, etc.)
- [DNA Data Bank of Japan](https://www.ddbj.nig.ac.jp/) (uses INSDC)
- [GENCODE](https://www.gencodegenes.org/) (uses GenBank)
- [GWAS Catalog](https://www.ebi.ac.uk/gwas/) (uses dbSNP, EFO, etc)
- [STRING](https://string-db.org/) (uses UniProt)"	agrkb|bacdive|brenda|brenda.ligand|brenda.ligandgroup|bto|chebi|chembl|civic.aid|civic.did|civic.eid|civic.gid|civic.sid|civic.tid|civic.vid|ecocyc|ena.embl|ensembl|eupath|flybase|gbif|gnomad|go|hgnc|interpro|mgi|orpha|orphanet.ordo|panther.family|panther.node|panther.pathway|panther.pthcmp|pdb|pharmgkb.disease|pharmgkb.drug|pharmgkb.gene|pharmgkb.pathways|pmc|pombase|px|reactome|rgd|rhea|sgd|ucsc|uniprot|wormbase|zfin	Charles Tapley Hoyt	0000-0003-4423-4370		
0000011	NDFI4Cat Collection	"A collection of ontologies, controlled vocabularies, and schemas relevant for the NDFI4Cat Consortium.

This collection was originally based on the metadata landscape of the ontologies in this list can be found [here](https://github.com/nfdi4cat/Ontology-Overview-of-NFDI4Cat).

OntoCompChem and OntoKin appear on the NFDI4Cat list but have not yet been registered in the Bioregistry because the resources are missing/incomplete such that they do not meet minimum Bioregistry metadata standards. These might be added in the future if additional metadata can be found."	afo|bao|bfo|cao|chebi|cheminf|chmo|dolce|edam|emmo|emmo.cif|envo|iso15926|m4i|mop|ms|obi|om|ontocape|osmo|rex|rxno|sbo|voc4cat|worldavatar.compchem|worldavatar.kin	 Hendrik Borgelt|Charles Tapley Hoyt	0000-0001-5886-7860|0000-0003-4423-4370	 Hendrik Borgelt|Alexander Behr|David Linke	0000-0001-5886-7860|0000-0003-4620-8248|0000-0002-5898-1820
0000012	Clinical Trial Registries	A collection of clinical trial registries appearing in the World Health Organization's [International Clinical Trials Registry Platform (ICTRP)](https://trialsearch.who.int/)	anzctr|chictr|clinicaltrials|ctis|ctri|drks|euclinicaltrials|hc.trial|irct|isrctn|itmctr|jrct|kcris|lbctr|pactr|phrr|rebec|repec|rpcec|slctr|snctp|tctr|uminctr	Charles Tapley Hoyt	0000-0003-4423-4370		
0000013	Software Package Repositories	These resources represent software repositories	cran|crates|npm|packagist|pypi|rubygems	Charles Tapley Hoyt	0000-0003-4423-4370		
0000014	NFDI4Chem Collection	"A collection of ontologies relevant within the [NFDI4Chem project](https://www.nfdi4chem.de/) that is mostly based on the overview paper [Ontologies4Chem: the landscape of ontologies in chemistry](https://doi.org/10.1515/pac-2021-2007).

NFDI4Chem deploys a [custom instance](https://terminology.nfdi4chem.de/ts/) of the Ontology Lookup Service (OLS), called NFDI4Chem Terminology Services (TS), that provides the ontologies in this list. This list contains ontologies that cover various domains of chemistry (e.g. ChEBI, CHMO, and RXNO), those that are dependencies of these chemistry specific ontologies (e.g. BFO, RO, IAO, and OBI) as well as those ontologies, which where indexed in the NFDI4Chem TS for interoperability research purposes (e.g. PROV-O, SOSA, and OBOE)."	afo|bfo|bto|chebi|cheminf|chemrof|chiro|chmo|duo|edam|efo|enm|envo|fair|fix|gainesville.core|iao|mod|mop|ms|ncit|nmr|obi|oboe|om|ontorxn|pato|proco|prov|reproduceme|rex|ro|rxno|sepio|sio|sosa|ssn|ssn.system|suprabank.additive|suprabank.buffer|suprabank.interaction|suprabank.molecule|suprabank.solvent|swo|time|uo|vibso|voc4cat|worldavatar.compchem|worldavatar.kin|worldavatar.os	 Philip Strömert|Charles Tapley Hoyt	0000-0002-1595-3213|0000-0003-4423-4370	 Philip Strömert	0000-0002-1595-3213
0000015	Biocuration Conference 2025 Collection	A collection of resources added during Biocuration 2025 in Kansas City, MO, USA.	antifam|biomarkerkb.biomarker|biomarkerkb.canonical|blastrule|emi|endlessforms.collection|endlessforms.element|endlessforms.graphic|endlessforms.image|endlessforms.library|endlessforms.unit|gdo	Charles Tapley Hoyt	0000-0003-4423-4370		
0000016	Synapse.org external links	A curated list by Sage Bionetworks of external resources that are automatically linked on Synapse.org and affiliated data portals	ado|agrkb|anzctr|arrayexpress|arxiv|atc|atcc|bacdive|bfo|bgee.gene|biocyc|biogrid|bioportal|bioproject|biorxiv|biosample|biostudies|bmrb.entry|brenda|brenda.ligand|brenda.ligandgroup|bto|cath|cbioportal|cdd|cellimage|cellxgene.collection|chebi|chembl|chembl.compound|chemspider|civic.aid|civic.did|civic.eid|civic.gid|civic.sid|civic.tid|civic.vid|clinicaltrials|clinvar.record|clinvar.variation|complexportal|cosmic.cell|cosmic.gene|cpt|ctd.chemical|ctri|cvx|dbgap|dbsnp|decipher|depmap|dhba|disprot|dmba|doi|doid|drks|drugbank|drugcentral|duo|ec|ecacc|edam|ega.dataset|ega.study|emdb|empiar|ena.embl|ensembl|ensembl.metazoa|ensembl.plant|euclinicaltrials|eupath|exac.variant|fairsharing|flybase|fma|funderregistry|gard|gbif|gdc|genecards.gene|geo|go|gramene.gene|gramene.growthstage|gramene.protein|gtdb|hba|hc.trial|hgnc|hl7.v2codesystem|hmdb|icd10|icd9|icdc|icf|idr|imgt.hla|inchi|inchikey|insdc|insdc.sra|intact|interpro|iso.3166|isrctn|itis|jaxmice|kegg|kegg.compound|kegg.disease|kegg.drug|kegg.glycan|kegg.pathway|kegg.reaction|loinc|massive|mba|mesh|metabolights|metacyc.compound|mgi|mir|mirbase|mondo|ncbigene|ncbiprotein|ncbitaxon|ncit|ndc|ndfrt|nextprot|nihreporter.project|nord|omim|omop|orcid|orpha|orphanet.ordo|osf|panther.family|panther.pathway|panther.pthcmp|pba|pdb|pdb-ccd|pdb.ligand|pdc.study|peco|peptideatlas.dataset|pfam|pfam.clan|pharmgkb.disease|pharmgkb.drug|pharmgkb.gene|pharmgkb.pathways|pmc|pombase|pride.project|pubchem.compound|pubmed|px|radlex|reactome|rebec|refseq|rfam|rfc|rgd|rhea|rnacentral|ror|rrid|rrrc|rxnorm|scop|sgd|signor|snomedct|so|ssbd.dataset|ssbd.project|stitch|string|tao|tcdb|uberon|unii|uniparc|uniprot|uniprot.isoform|uniprot.proteome|uniref|wikidata|wikigenes|wikipathways|wormbase|xenbase|zenodo.record|zfin|zinc	Robert Allaway	0000-0003-3573-3565		
0000017	DALIA Resources	Prefixes relevant for the [Data Literacy Alliance (DALIA)](https://dalia.education/en) project	ans.educationlevel|bibframe|bibo|bmbf.glossary|ceds.element|citedcat|codata.rdmt|dai.thesauri|datacite|dbpedia.resource|dcterms|emmo|fabio|iana.mediatype|isced1997|isced2011|loc.fdd|m4i|marc21|modalia|nfdi4dso|owl|prov|sage.socialsciencethesaurus|schema|sio|spdx|spdx.term|t4fs|unesco.thesaurus|wdrs|wikidata	Charles Tapley Hoyt	0000-0003-4423-4370		
0000018	Resources for modeling Open Educational Resources	"The prefixes appearing in this collection correspond resources whose entities could appear as values for target groups, media types, educational levels, and other fields in OER data models. It can also include parts that are used to construct schemas for OERs

It was originally curated as part of the publication [_Teaching RDM in a smart advanced inorganic lab course and its provision in the DALIA platform_ (arxiv:2509.18902)](https://arxiv.org/pdf/2509.18902)."	adcad|ans.educationlevel|ccso|ceds.learning_resource_type|edam|gsso|iana.mediatype|isced1997|isced2011|isced2013|kim.amb|kim.conditionsofaccess|kim.educationlevel|kim.esv|kim.hcrt|kim.hochschulfaechersystematik|kim.lp|kim.schularten|kim.schulfaecher|loc.fdd|lrmi|lrmi.alignmenttype|lrmi.educationalaudiencerole|lrmi.eduse|lrmi.interact|lrmi.resourcetype|modalia|oeh.educationlevel|oerschema|openeduhub.context|schema|t4fs|unesco.thesaurus|vivo	Charles Tapley Hoyt|Martin Voigt	0000-0003-4423-4370|0000-0001-5556-838X		
0000019	Digital Humanities	Prefixes relevant for the digital humanities	cidoc.crm|edm|getty.att|getty.cona|getty.gvp|getty.ia|getty.tgn|getty.ulan|iconclass	Charles Tapley Hoyt	0000-0003-4423-4370		
