Preferred Prefix	Alt-prefix	Provider Base URI	Alternative Base URI	MIRIAM	BiodbcoreID	BioPortal Ontology ID	identifiers.org	Abbreviation	Title	Description	PubMed ID	Organization	Type (warehouse, dataset or terminology)	Keywords	Homepage	Functional?	sub-namespace in dataset	part of collection	License URL	License Text	Rights	ID regex	ExampleID	Provider HTML URL		MIRIAM checked	MIRIAM curator notes	MIRIAM coverage	updates	year last accessible	wayback url	last updated	last updated by	last updated by (orcid)
2dbaseecoli	2d-page.protein			MIR:00000191				2DBase	2D-PAGE Database of Escherichia coli	2DBase of Escherichia coli stores 2D polyacrylamide gel electrophoresis and mass spectrometry proteome data for E. coli. This collection references a subset of Uniprot, and contains general information about the protein record.	17904107	University of Bielefeld	dataset	protein	http://2dbase.techfak.uni-bielefeld.de	no						^([A-N,R-Z][0-9][A-Z][A-Z, 0-9][A-Z, 0-9][0-9])|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])$	P39172	http://2dbase.techfak.uni-bielefeld.de/cgi-bin/2d/2d.cgi?ac=$id		x				2011	https://web.archive.org/web/20110810193627/http://2dbase.techfak.uni-bielefeld.de/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
3dgenomics								3D-Genomics	3D-Genomics: Database of genome-based protein structure annotations	3D-GENOMICS is a database containing structural annotations for the proteomes of just under 100 organisms. Using data derived from public databases of translated genomic sequences, representatives from the major branches of Life are included: Prokaryota, Eukaryota and Archaea.	14681404	Imperial College London	dataset	protein	http://www.sbg.bio.ic.ac.uk/3dgenomics	no								N/A			no resolving URL	omitted		2011	https://web.archive.org/web/20110504185112/http://www.sbg.bio.ic.ac.uk/3dgenomics	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
3did								3DID	3D interacting domains	The database of 3D Interaction Domains (3did) is a collection of domain-domain interactions in proteins for which high-resolution three-dimensional structures are known. 3did exploits structural information to provide critical molecular details necessary for understanding how interactions occur	24081580	Institute for Research in Biomedicine (http://www.irbbarcelona.org)	dataset	protein, interaction, structure	http://3did.irbbarcelona.org	yes							sh2	https://3did.irbbarcelona.org/dispatch.php?type=domain&value=$id			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
3dinterologs								3D-Interologs	3D-Interologs	The 3D-Interologs is a cross-species interacting database inferring from three-dimensional (3D) protein structure complexes and a novel scoring function by using 3D-domain interologs. For a query protein, the 3D-Interologs database utilizes BLAST to identify homologous proteins and the interacting partners from multiple species. 	21143789	National Chiao Tung University	dataset	structure, protein, interaction	http://gemdock.life.nctu.edu.tw/3D-Interologs	no								N/A			no resolving URL	omitted		2018	https://web.archive.org/web/20181103235651/http://3d-interologs.life.nctu.edu.tw/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
3dmet				MIR:00000066			3dmet	3DMET	Three-Dimensional Structure Database of Natural Metabolites	3DMET is a database of three-dimensional structures of natural metabolites.	23293959, 29892514	National Institute of Agrobiological Sciences	dataset	chemical,metabolite,structure	http://www.3dmet.dna.affrc.go.jp	no						^B\d{5}$	B00162	N/A		x				2020	https://web.archive.org/web/20201127014135/http://www.3dmet.dna.affrc.go.jp/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
3drmm									3D Ribosomal Modification Maps	The database provides access to the rRNA sequences with modifications sites indicated, secondary structures with modifications sites indicated, 3D modifiction maps and the supporting tables of equivalent nucleotides for rRNA from model organisms.	17947322	University of Massachusetts Amherst	dataset	RNA, structure	http://people.biochem.umass.edu/fournierlab/3dmodmap/	yes								N/A			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
4dn				MIR:00000833			4dn	4D Nucleome	4D Nucleome	The 4D Nucleome Data Portal hosts data generated by the 4DN Network and other reference nucleomics data sets. The 4D Nucleome Network aims to understand the principles underlying nuclear organization in space and time, the role nuclear organization plays in gene expression and cellular function, and how changes in nuclear organization affect normal development as well as various diseases.	28905911	4D Nucleome Data Coordination and Integration Center, Harvard Medical School	dataset	DNA, protein	https://data.4dnucleome.org/	yes						^4DN[A-Z]{2}[A-Z0-9]{7}$	4DNESBOY2QLJ	https://data.4dnucleome.org/$id								January 13, 2022	Michel Dumontier	0000-0003-4727-9435
4dxpress								4DXpress	4DXpress gene expression in major animals	This database provides a platform to query and compare gene expression data during the development of the major model animals (zebrafish, drosophila, medaka, mouse). The high resolution expression data was acquired through whole mount in situ hybridsation-, antibody- or transgenic experiments.	17916571	EMBL	dataset	gene expression	http://4dx.embl.de/4DXpress	no						^\d+$	98967	http://4dx.embl.de/4DXpress/reg/all/cview/gene.do?geneID=$id			emailed regarding maintenance and identifier stability	curation	data set no longer maintained or updated	2019	https://web.archive.org/web/20190420204436/http://4dx.embl.de/4DXpress/guest/login.do;jsessionid=B9F1E45AD4D65CE583D7CE34C0EA91F3	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
5sage								5'SAGE	5'End Serial Analysis of Gene Expression Database	Describes the development of a 5'-end serial analysis of gene expression (5' SAGE) that can be used to globally identify transcriptional start sites and the frequency of individual mRNAs. Of the 25,684 5' SAGE tags in the HEK293 human cell library, 19,893 matched to the human genome. Among 15,448 tags in one locus of the genome, 85.8%–96.1% of the 5' SAGE tags were assigned within -500 to +200 nt of mRNA start sites using the RefSeq, UniGene and DBTSS databases.	15300261	Tokyo University	dataset	gene expression	http://5sage.gi.k.u-tokyo.ac.jp	no								N/A			no resolving URL	omitted		2012	https://web.archive.org/web/20120302021100/http://5sage.gi.k.u-tokyo.ac.jp/	January 13, 2022	Michel Dumontier	0000-0003-4727-9435
5srna									5S Ribosomal RNA Database	5S ribosomal RNA is an integral component of the large subunit of all cytoplasmic and most organellar ribosomes. Its small size and association with ribosomal as well as non-ribosomal proteins made it an ideal model RNA molecule for studies of RNA structure and RNA-protein interactions.	26490961	Adam Mickiewicz University	dataset	RNA, protein, interaction	http://combio.pl/rrna/	yes							E00500	http://combio.pl/rrna/seqId/$id			no resolving URL	omitted				January 13, 2022	Michel Dumontier	0000-0003-4727-9435
