identifier	name	homepage	description	pattern	example	email	uri_format	download.owl	download.obo	synonyms	deprecated	aberowl	agroportal	bartoc	biocontext	bioportal	cellosaurus	cheminf	cropoct	ecoportal	edam	hl7	integbio	lov	miriam	n2t	obofoundry	ols	ontobee	pathguide	prefixcc	prefixcommons	re3data	rrid	togoid	uniprot	wikidata	zazuko	part_of	provides	has_canonical
_3dmet	3D Metabolites	http://www.3dmet.dna.affrc.go.jp/	3DMET is a database collecting three-dimensional structures of natural metabolites.	^B\d{5}$	B00162		http://www.3dmet.dna.affrc.go.jp/cgi/show_data.php?acc=$1			3dmet	True				3DMET						2635		nbdc00351		3dmet	3dmet						3dmet					P2796				
_4dn.biosource	4D Nucleome Data Portal Biosource	https://data.4dnucleome.org/biosources	The 4D Nucleome Data Portal hosts data generated by the 4DN Network and other reference nucleomics data sets. The 4D Nucleome Network aims to understand the principles underlying nuclear organization in space and time, the role nuclear organization plays in gene expression and cellular function, and how changes in nuclear organization affect normal development as well as various diseases.	^4DN[A-Z]{2}[A-Z0-9]{7}$	4DNSR73BT2A2	Job.Dekker@umassmed.edu	https://data.4dnucleome.org/biosources/$1			4DN|4dn.biosource	False						4DN								4dn							4dn									
_4dn.replicate	4D Nucleome Data Portal Experiment Replicate	https://data.4dnucleome.org/experiment-set-replicates/	Database portal containing replicate experiments of different assays and samples		4DNESWX1J3QU		https://data.4dnucleome.org/experiment-set-replicates/$1			4dn.replicate	False																														
aaindex	AAindex	http://www.genome.ad.jp/aaindex/	Identifier of an entry from the AAindex database.		BUNA790102	shuichi@hgc.jp	http://www.genome.jp/dbget-bin/www_bget?aaindex:$1				False										1128		nbdc00004									aaindex									
aao	Amphibian gross anatomy	http://github.com/seger/aao	A structured controlled vocabulary of the anatomy of Amphibians. Note that AAO is currently being integrated into Uberon.	^\d{7}$	0000138	david.c.blackburn@gmail.com	http://purl.obolibrary.org/obo/AAO_$1				True		AAO		AAO												aao					aao									
abcam	Abcam	https://www.abcam.com	Vendor for assays, cells, and antibodies		ab275461		https://www.abcam.com/$1.html				False						Abcam																								
abcd	AntiBodies Chemically Defined database	https://web.expasy.org/abcd/	The ABCD (AntiBodies Chemically Defined) database is a manually curated depository of sequenced antibodies		AD834	Pierre.Cosson@unige.ch	https://web.expasy.org/abcd/ABCD_$1				False						ABCD																			DB-0236					
abm	Applied Biological Materials cell line products	https://www.abmgood.com/Cell-Biology.html	Cell line collections (Providers)		T0599		https://www.abmgood.com/search?query=$1				False						ABM																								
abs	Annotated Regulatory Binding Sites	http://genome.crg.es/datasets/abs2005/	The database of Annotated regulatory Binding Sites (from orthologous promoters), ABS, is a public database of known binding sites identified in promoters of orthologous vertebrate genes that have been manually curated from bibliography.	^A\d+$	A0014	enrique.blanco@crg.eu	http://genome.crg.es/datasets/abs2005/entries/$1.html				False				ABS						2741				abs	abs				217		abs									
absd	AntiBody Sequence Database	https://absd.pasteur.cloud	The AntiBody Sequence Database is a public dataset for antibody sequence data. It provides unique identifiers for antibody sequences, including both immunoglobulin and single-chain variable fragment sequences. These are are critical for immunological studies, and  allows users to search and retrieve antibody sequences based on sequence similarity and specificity, and other biological properties.	^[a-f0-9]{64}$	81d0ea69a9ab134f6ba68314e982171a367d3ab739c85c5ba49701dd02170ed3	nicolas.maillet@pasteur.fr	https://absd.pasteur.cloud/antibody/$1				False																														
ac	Activity Streams	http://www.w3.org/ns/activitystreams	Activity Streams is an open format specification for activity stream protocols, which are used to syndicate activities taken in social web applications and services, similar to those in Facebook's, Instagram's, and Twitter's. The standard provides a general way to represent activities.		Add		http://www.w3.org/ns/activitystreams#$1				False																														
aceview.worm	Aceview Worm	https://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/index.html?worm	AceView provides a curated sequence representation of all public mRNA sequences (mRNAs from GenBank or RefSeq, and single pass cDNA sequences from dbEST and Trace). These are aligned on the genome and clustered into a minimal number of alternative transcript variants and grouped into genes. In addition, alternative features such as promoters, and expression in tissues is recorded. This collection references C. elegans genes and expression.	^[a-z0-9-]+$	aap-1	mieg@ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/IEB/Research/Acembly/av.cgi?db=worm&c=Gene&l=$1				False				ACEVIEW.WORM										aceview.worm	aceview.worm						aceview.worm									
adcad	Arctic Data Center Academic Disciplines Ontology	https://arcticdata.io/	An ontology to support disciplinary annotation of Arctic Data Center datasets.	^\d{5}$	00000	brycemecum@gmail.com	https://purl.dataone.org/odo/ADCAD_$1				False	ADCAD				ADCAD																									
addexbio	AddexBio cell line products	https://www.addexbio.com/productshow?id=4	Cell line collections (Providers)		C0020004/4992		https://www.addexbio.com/productdetail?pid=$1				False						AddexBio																								
addgene	Addgene Plasmid Repository	http://addgene.org/	Addgene is a non-profit plasmid repository. Addgene facilitates the exchange of genetic material between laboratories by offering plasmids and their associated cloning data to not-for-profit laboratories around the world.	^[0-9]{5}(-[a-zA-Z0-9-]{0,7})?$|^[0-9]{10}$	50943	joanne.kamens@addgene.org	http://addgene.org/$1				False												nbdc00356		addgene	addgene						addgene	r3d100010741	Addgene							
adms	Asset Description Metadata Schema Vocabulary	http://www.w3.org/ns/adms	A vocabulary for describing semantic assets, defined as highly reusable metadata (e.g. XML1 schemata, generic data models) and reference data (e.g. code lists, taxonomies, dictionaries, vocabularies).		Asset	bert.van.nuffelen@tenforce.com	http://www.w3.org/ns/adms#$1				False													adms																	
