#curie_map:
#  aberowl: http://aber-owl.net/ontology/
#  agroportal: http://agroportal.lirmm.fr/ontologies/
#  bartoc: https://bartoc.org/en/node/
#  biocontext: https://bioregistry.io/metaregistry/biocontext/
#  biolink: https://bioregistry.io/metaregistry/biolink/resolve/
#  bioportal: https://bioportal.bioontology.org/ontologies/
#  bioregistry: https://bioregistry.io/registry/
#  bioregistry.schema: https://bioregistry.io/schema/#
#  cellosaurus.resource: https://bioregistry.io/metaregistry/cellosaurus/resolve/
#  cheminf: https://semanticscience.org/resource/CHEMINF_
#  cropoct: https://cropontology.org/ontology/
#  ecoportal: http://ecoportal.lifewatch.eu/ontologies/
#  edam: http://edamontology.org/data_
#  fairsharing: https://fairsharing.org/
#  go.resource: https://bioregistry.io/metaregistry/go/resolve/
#  integbio: https://catalog.integbio.jp/dbcatalog/en/record/
#  lov: https://lov.linkeddata.es/dataset/lov/vocabs/
#  miriam: https://registry.identifiers.org/registry/
#  n2t: https://bioregistry.io/metaregistry/n2t/resolve/
#  ncbi.resource: https://bioregistry.io/metaregistry/ncbi/resolve/
#  obofoundry: https://www.obofoundry.org/ontology/
#  oid: https://oid-base.com/get/
#  ols: https://www.ebi.ac.uk/ols4/ontologies/
#  ontobee: http://www.ontobee.org/ontology/
#  pathguide: http://www.pathguide.org/fullrecord.php?DBID=
#  prefixcommons: https://registry.bio2kg.org/resource/
#  re3data: https://www.re3data.org/repository/
#  rrid: https://bioregistry.io/metaregistry/rrid/resolve/
#  tib.ts: https://terminology.tib.eu/ts/ontologies/
#  togoid: https://togoid.dbcls.jp/#
#  uniprot.resource: https://www.uniprot.org/database/
#  wikidata: http://www.wikidata.org/entity/
#  zazuko: https://bioregistry.io/metaregistry/zazuko/resolve/
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://github.com/biopragmatics/bioregistry/raw/main/exports/sssom/bioregistry.sssom.tsv
#mapping_set_title: Bioregistry
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	creator_id	issue_tracker_item	comment
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		biocontext:3DMET		semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		edam:2635	Compound ID (3DMET)	semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		integbio:nbdc00351	A three-dimensional-structure database of natural metabolites	semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		miriam:3dmet	3DMET	semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		n2t:3dmet	3DMET database	semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		prefixcommons:3dmet	Three-Dimensional Structure Database of Natural Metabolites	semapv:UnspecifiedMatching			
bioregistry:_3dmet	3D Metabolites	skos:exactMatch		wikidata:P2796	3DMet ID	semapv:UnspecifiedMatching			
bioregistry:_4dn.biosource	4D Nucleome Data Portal Biosource	skos:exactMatch		cellosaurus.resource:4DN		semapv:UnspecifiedMatching			
bioregistry:_4dn.biosource	4D Nucleome Data Portal Biosource	skos:exactMatch		miriam:4dn	4D Nucleome	semapv:UnspecifiedMatching			
bioregistry:_4dn.biosource	4D Nucleome Data Portal Biosource	skos:exactMatch		prefixcommons:4dn	4D Nucleome	semapv:UnspecifiedMatching			
bioregistry:_4dn.biosource	4D Nucleome Data Portal Biosource	skos:exactMatch		wikidata:Q110613621		semapv:UnspecifiedMatching			
bioregistry:_4dn.replicate	4D Nucleome Data Portal Experiment Replicate	skos:exactMatch		wikidata:Q110613797		semapv:UnspecifiedMatching			
bioregistry:aaindex	AAindex	skos:exactMatch		edam:1128	AAindex	semapv:UnspecifiedMatching			
bioregistry:aaindex		skos:exactMatch		integbio:nbdc00004		semapv:MappingReview	orcid:0009-0009-5240-7463		
bioregistry:aaindex	AAindex	skos:exactMatch		integbio:nbdc00004	Amino acid indices, substitution matrices and pair-wise contact potentials	semapv:UnspecifiedMatching			
bioregistry:aaindex	AAindex	skos:exactMatch		prefixcommons:aaindex	Amino acid indices, substitution matrices and pair-wise contact potentials	semapv:UnspecifiedMatching			
bioregistry:aaindex	AAindex	skos:exactMatch		wikidata:Q85738825		semapv:UnspecifiedMatching			
bioregistry:aao		skos:exactMatch	Not	agroportal:AAO		semapv:MappingReview	orcid:0000-0001-9439-5346	bioregistry.issue:1457	
bioregistry:aao	Amphibian gross anatomy	skos:exactMatch		biocontext:AAO		semapv:UnspecifiedMatching			
bioregistry:aao	Amphibian gross anatomy	skos:exactMatch		fairsharing:FAIRsharing.mxx5rp	Amphibian gross Anatomy Ontology	semapv:UnspecifiedMatching			
