Registry	Scope	Status	Imports External Prefixes	Curates Novel Prefixes	Accepts External Contributions	Public Version Control	Public Issue Tracker	Has Public Review Team
Bioregistry~\cite{Hoyt2022}	Life Sciences	Active	Y	Y	Y	Y	Y	Y
AberOWL~\cite{Hoehndorf2015}	Bio-Ontologies	Active	Y					
AgroPortal~\cite{Jonquet2018}	Agro-Ontologies	Active		Y	Y		Y	x
BARTOC	General	Active		Y	Y		Y	Y
BioContext~\cite{biocontext}	Internal	Active		Y	Y	Y	Y	Y*
Biolink~\cite{Unni2022}	Internal	Active		Y	Y	Y	Y	Y*
BioPortal~\cite{Whetzel2011}	Bio-Ontologies	Active		Y	Y		Y	x
Cellosaurus~\cite{Bairoch2018}	Internal	Active		Y				
CHEMINF~\cite{Hastings2011}	Chemistry	Unresponsive		Y	Y	Y	Y	Y*
CropOCT~\cite{Arnaud2020}	Agro-Ontologies	Active		Y	Y		Y	Y
EcoPortal~\cite{Kechagioglou2021}	Eco-Ontologies	Active		Y	Y			x
EDAM~\cite{Ison2013}	Life Sciences	Active		Y	Y	Y	Y	Y*
FAIRSharing~\cite{Sansone2019}	Life Sciences	Active		Y	Y			x
GO~\cite{TheGeneOntologyConsortium2019}	Internal	Inactive		Y	Y	Y	Y	Y*
HL7~\cite{Bender2013}	General	Active		Y	Y			
Integbio	Bio-Ontologies	Active	Y					
LOV	Semantic Web	Active	Y	Y	Y		Y	
Identifiers.org~\cite{Juty2012}	Life Sciences	Unresponsive		Y	Y		Y	x
N2T~\cite{Wimalaratne2018}	Life Sciences	Active	Y					
NCBI~\cite{Clark2016}	Internal	Inactive		Y				
OBO Foundry~\cite{Jackson2021}	Bio-Ontologies	Active		Y	Y	Y	Y	Y
OLS~\cite{Cote2006a}	Bio-Ontologies	Active	Y		Y	Y	Y	Y*
OntoBee~\cite{Ong2017}	Bio-Ontologies	Active	Y		Y		Y	
Pathguide	Bio-Ontologies	Active		Y	Y			
Prefix Commons~\cite{prefixcommons}	Life Sciences	Active		Y	Y			Y
re3data~\cite{Pampel2013}	General	Active		Y	Y			x
RRID	Life Sciences	Active		Y	Y			x
TogoID	Bio-Ontologies	Active	Y		Y	Y	Y	Y*
UniProt~\cite{Bateman2021}	Internal	Active		Y				
Wikidata~\cite{Waagmeester2020}	General	Active		Y	Y			Y*
Zazuko	Semantic Web	Active	Y	Y	Y	Y	Y	Y*
