prefix	uri_format	identifiers	purl
	https://monarchinitiative.org/$1	False	False
2D-PAGE.PROTEIN	http://identifiers.org/2d-page.protein/$1	True	False
AGD	http://identifiers.org/agd/$1	True	False
APB	http://pb.apf.edu.au/phenbank/strain.html?id=$1	False	False
AQTLPub	https://www.animalgenome.org/cgi-bin/QTLdb/BT/qabstract?PUBMED_ID=$1	False	False
AQTLTrait	http://identifiers.org/animalqtltrait/$1	True	False
BNODE	https://monarchinitiative.org/.well-known/genid/$1	False	False
BT	http://c.biothings.io/#$1	False	False
catfishQTL	https://www.animalgenome.org/cgi-bin/QTLdb/IP/qdetails?QTL_ID=$1	False	False
cattleQTL	https://www.animalgenome.org/cgi-bin/QTLdb/BT/qdetails?QTL_D=$1	False	False
chickenQTL	https://www.animalgenome.org/cgi-bin/QTLdb/GG/qdetails?QTL_ID=$1	False	False
CHR	http://purl.obolibrary.org/obo/CHR_$1	False	True
ClinVarSubmitters	http://www.ncbi.nlm.nih.gov/clinvar/submitters/$1	False	False
CLUSTR	http://identifiers.org/clustr/$1	True	False
CMMR	http://www.cmmr.ca/order.php?t=m&id=$1	False	False
CMR.GENE	http://identifiers.org/cmr.gene/$1	True	False
COGS	http://identifiers.org/cogs/$1	True	False
COGS.FUNCTION	http://identifiers.org/cogs.function/$1	True	False
CoriellCollection	https://catalog.coriell.org/1/$1	False	False
CoriellFamily	https://catalog.coriell.org/0/Sections/BrowseCatalog/FamilyTypeSubDetail.aspx?fam=$1	False	False
CoriellIndividual	https://catalog.coriell.org/Search?q=$1	False	False
CYGD	http://identifiers.org/cygd/$1	True	False
DATA	http://edamontology.org/data_$1	False	False
dbSNPIndividual	http://www.ncbi.nlm.nih.gov/SNP/snp_ind.cgi?ind_id=$1	False	False
dbVar	http://www.ncbi.nlm.nih.gov/dbvar/$1	False	False
EBIMETAGENOMICS.PROJ	http://identifiers.org/ebimetagenomics.proj/$1	True	False
EBIMETAGENOMICS.SAMP	http://identifiers.org/ebimetagenomics.samp/$1	True	False
EMMA	https://www.infrafrontier.eu/search?keyword=EM:$1	False	False
EOM	http://purl.obolibrary.org/obo/EOM_$1	False	True
FDADrug	http://www.fda.gov/Drugs/InformationOnDrugs/$1	False	False
FLYSTOCK	http://identifiers.org/flystock/$1	True	False
FUNCAT	http://identifiers.org/funcat/$1	True	False
GeneReviews	http://www.ncbi.nlm.nih.gov/books/$1	False	False
GINAS	http://tripod.nih.gov/ginas/app/substance#$1	False	False
GRO	http://purl.obolibrary.org/obo/GRO_$1	False	True
horseQTL	https://www.animalgenome.org/cgi-bin/QTLdb/EC/qdetails?QTL_ID=$1	False	False
IMPC	http://www.mousephenotype.org/data/genes/$1	False	False
IMPRESS-parameter	https://www.mousephenotype.org/impress/parameterontologies/$1	False	False
IMPRESS-procedure	https://www.mousephenotype.org/impress/procedures/$1	False	False
IMPRESS-protocol	https://www.mousephenotype.org/impress/protocol/$1	False	False
IPI	http://identifiers.org/ipi/$1	True	False
J	http://www.informatics.jax.org/reference/J:$1	False	False
KEGG-ds	http://purl.obolibrary.org/KEGG-ds_$1	False	True
KEGG-hsa	http://www.kegg.jp/dbget-bin/www_bget?hsa:$1	False	False
KEGG-ko	http://www.kegg.jp/dbget-bin/www_bget?ko:$1	False	False
MEROPS	http://identifiers.org/merops/$1	True	False
MONARCH	https://monarchinitiative.org/MONARCH_$1	False	False
MonarchArchive	https://archive.monarchinitiative.org/201806/$1	False	False
MonarchData	https://data.monarchinitiative.org/ttl/$1	False	False
MPD	https://phenome.jax.org/$1	False	False
MPD-assay	https://phenome.jax.org/db/qp?rtn=views/catlines&keymeas=$1	False	False
MPD-strain	http://phenome.jax.org/db/q?rtn=strains/details&strainid=$1	False	False
MUGEN	http://bioit.fleming.gr/mugen/Controller?workflow=ViewModel&expand_all=true&name_begins=model.block&eid=$1	False	False
NCIMR	https://mouse.ncifcrf.gov/available_details.asp?ID=$1	False	False
OBAN	http://purl.org/oban/$1	False	False
OMIA-breed	https://monarchinitiative.org/model/OMIA-breed:$1	False	False
PAINT_REF	http://www.geneontology.org/gene-associations/submission/paint/$1	False	False
PANTHER	http://www.pantherdb.org/panther/family.do?clsAccession=$1	False	False
PATHEMA	http://identifiers.org/pathema/$1	True	False
PGN	http://identifiers.org/pgn/$1	True	False
pigQTL	https://www.animalgenome.org/cgi-bin/QTLdb/SS/qdetails?QTL_ID=$1	False	False
rainbow_troutQTL	https://www.animalgenome.org/cgi-bin/QTLdb/OM/qdetails?QTL_ID=$1	False	False
RBRC	http://www2.brc.riken.jp/lab/animal/detail.php?brc_no=RBRC$1	False	False
RGDRef	http://rgd.mcw.edu/rgdweb/report/reference/main.html?id=$1	False	False
SCIENCESIGNALING.PATH	http://identifiers.org/sciencesignaling.path/$1	True	False
SCIENCESIGNALING.PDC	http://identifiers.org/sciencesignaling.pdc/$1	True	False
SCIENCESIGNALING.PIC	http://identifiers.org/sciencesignaling.pic/$1	True	False
SGD_REF	https://www.yeastgenome.org/reference/$1	False	False
sheepQTL	https://www.animalgenome.org/cgi-bin/QTLdb/OA/qdetails?QTL_ID=$1	False	False
TAIR	https://www.arabidopsis.org/servlets/TairObject?type=locus&id=$1	False	False
TrEMBL	http://purl.uniprot.org/uniprot/$1	False	False
VIVO	http://vivoweb.org/ontology/core#$1	False	False
ZFIN.EXPRESSION	http://identifiers.org/zfin.expression/$1	True	False
ZFIN.PHENOTYPE	http://identifiers.org/zfin.phenotype/$1	True	False
