prefix	uri_format	identifiers	purl
Aeolus	http://translator.ncats.nih.gov/Aeolus_$1	False	False
alliancegenome	https://www.alliancegenome.org/$1	False	False
apollo	https://github.com/GMOD/Apollo$1	False	False
ChemBank	http://chembank.broadinstitute.org/chemistry/viewMolecule.htm?cbid=$1	False	False
chembio	http://translator.ncats.nih.gov/chembio_$1	False	False
COAR_RESOURCE	http://purl.org/coar/resource_type/$1	False	False
CPT	https://www.ama-assn.org/practice-management/cpt/$1	False	False
CTD	http://translator.ncats.nih.gov/CTD_$1	False	False
DGIdb	https://www.dgidb.org/interaction_types$1	False	False
EDAM-DATA	http://edamontology.org/data_$1	False	False
EDAM-FORMAT	http://edamontology.org/format_$1	False	False
EDAM-OPERATION	http://edamontology.org/operation_$1	False	False
EDAM-TOPIC	http://edamontology.org/topic_$1	False	False
fabio	http://purl.org/spar/fabio/$1	False	False
GAMMA	http://translator.renci.org/GAMMA_$1	False	False
gff3	https://github.com/The-Sequence-Ontology/Specifications/blob/master/gff3.md#$1	False	False
GOP	http://purl.obolibrary.org/obo/go#$1	False	True
gpi	https://github.com/geneontology/go-annotation/blob/master/specs/gpad-gpi-2-0.md#$1	False	False
gtpo	https://rdf.guidetopharmacology.org/ns/gtpo#$1	False	False
hetio	http://translator.ncats.nih.gov/hetio_$1	False	False
ICD0	http://translator.ncats.nih.gov/ICD0_$1	False	False
KEGG.BRITE	http://www.kegg.jp/entry/$1	False	False
KEGG.DGROUP	http://www.kegg.jp/entry/$1	False	False
KEGG.RCLASS	http://www.kegg.jp/entry/$1	False	False
linkml	https://w3id.org/linkml/$1	False	False
OBAN	http://purl.org/oban/$1	False	False
oboformat	http://www.geneontology.org/formats/oboInOWL#$1	False	False
os	https://github.com/cmungall/owlstar/blob/master/owlstar.ttl$1	False	False
PATO-PROPERTY	http://purl.obolibrary.org/obo/pato#$1	False	True
PDQ	https://www.cancer.gov/publications/pdq#$1	False	False
PHAROS	http://pharos.nih.gov$1	False	False
schema	http://schema.org/$1	False	False
SEMMEDDB	https://skr3.nlm.nih.gov/SemMedDB$1	False	False
SNPEFF	http://translator.ncats.nih.gov/SNPEFF_$1	False	False
UBERGRAPH	http://translator.renci.org/ubergraph-axioms.ofn#$1	False	False
UBERON_CORE	http://purl.obolibrary.org/obo/uberon/core#$1	False	True
UMLSSG	https://lhncbc.nlm.nih.gov/semanticnetwork/download/sg_archive/SemGroups-v04.txt$1	False	False
