prefix	name	homepage	category	uri_format
ABM	Applied Biological Materials cell line products	https://www.abmgood.com/Cell-Biology.html	Cell line collections	https://www.abmgood.com/catalogsearch/result/?cat=&q=$1
AddexBio	AddexBio cell line products	https://www.addexbio.com/productshow?id=4	Cell line collections	https://www.addexbio.com/productdetail?pid=$1
BCRC	Taiwan Bioresource Collection and Research Center	https://catalog.bcrc.firdi.org.tw/	Cell line collections	https://catalog.bcrc.firdi.org.tw/BcrcContent?bid=$1
BCRJ	Banco de Celulas do Rio de Janeiro	http://bcrj.org.br/celula/bcrj	Cell line collections	http://bcrj.org.br/celula/$1
BEI_Resources	BEI Resources	https://www.beiresources.org/Home.aspx	Cell line collections	https://www.beiresources.org/Catalog/cellBanks/$1.aspx
BioSamples	BioSamples database	https://www.ebi.ac.uk/biosamples/	Biological sample resources	https://www.ebi.ac.uk/biosamples/samples/$1
Cell_Biolabs	Cell Biolabs cell line products	https://www.cellbiolabs.com	Cell line collections	https://www.cellbiolabs.com/search?keywords=$1
Cell_Model_Passport	Sanger Cell Model Passports	https://cellmodelpassports.sanger.ac.uk/	Cell line databases/resources	https://cellmodelpassports.sanger.ac.uk/passports/$1
CelloPub	Cellosaurus Publication	https://web.expasy.org/cellosaurus/	Reference resources	https://web.expasy.org/cellosaurus/cellopub/$1
CGH-DB	CGH Data Base	http://www.cghtmd.jp/CGHDatabase/index_e.jsp	Cell line databases/resources	http://www.cghtmd.jp/CGHDatabase/mapViewer?hid=$1&aid=%t&lang=en
ChEMBL-Cells	ChEMBL database of bioactive drug-like small molecules - Cell lines section	https://www.ebi.ac.uk/chembldb	Chemistry resources	https://www.ebi.ac.uk/chembldb/cell/inspect/$1
ChEMBL-Targets	ChEMBL database of bioactive drug-like small molecules - Targets section	https://www.ebi.ac.uk/chembldb	Chemistry resources	https://www.ebi.ac.uk/chembldb/target/inspect/$1
CLS	Cell Lines Service	https://www.clsgmbh.de	Cell line collections	https://www.clsgmbh.de/$1.html
ColonAtlas	Colorectal Cancer Atlas	http://www.coloncanceratlas.org	Cell line databases/resources	http://www.coloncanceratlas.org/search_cell_line?cell_line=$1
Cosmic-CLP	COSMIC Cell lines Project	https://cancer.sanger.ac.uk/cell_lines	Cell line databases/resources	https://cancer.sanger.ac.uk/cell_lines/sample/overview?id=$1
DGRC	Drosophila Genomics Resource Center	https://dgrc.bio.indiana.edu/cells/Catalog	Cell line collections	https://dgrc.bio.indiana.edu/product/View?product=$1
DiscoverX	DiscoverX cell line products	https://www.discoverx.com/products-applications/cell-lines	Cell line collections	https://www.discoverx.com/searchproduct?searchtext=$1&searchmode=exact
EBiSC	European Bank for induced pluripotent Stem Cells	https://www.ebisc.org	Cell line collections	https://cells.ebisc.org/$1
ESTDAB	European Searchable Tumour Line Database	https://www.ebi.ac.uk/ipd/estdab/	Cell line databases/resources	https://www.ebi.ac.uk/cgi-bin/ipd/estdab/print_cell.cgi?$1
FCDI	FujiFilm Cellular Dynamics, Inc	https://fujifilmcdi.com/the-cirm-ipsc-bank	Cell line collections	
FCS-free	Fetal Calf Serum-Free Database	https://fcs-free.org/	Cell line databases/resources	https://fcs-free.org/fcs-database?$1
HipSci	Human Induced Pluripotent Stem Cells Initiative	http://www.hipsci.org	Cell line databases/resources	http://www.hipsci.org/lines/#/lines/$1
HIVReagentProgram	NIH HIV Reagent Program	https://www.hivreagentprogram.org/Home.aspx	Cell line collections	https://www.hivreagentprogram.org/Catalog/HRPCellLines/$1.aspx
Horizon_Discovery	Horizon Discovery cell line collection	https://horizondiscovery.com/	Cell line collections	https://horizondiscovery.com/en/search?searchterm=$1
IARC_TP53	IARC TP53 Database	http://p53.iarc.fr/CellLines.aspx	Polymorphism and mutation databases	
IBRC	Iranian Biological Research Center cell line collection	http://www.en.ibrc.ir/	Cell line collections	
ICLC	Interlab Cell Line Collection	http://www.iclc.it	Cell line collections	http://www.iclc.it/details/det_list.php?line_id=$1
IGRhCellID	Integrated Genomic Resources of human Cell Lines for Identification	http://igrcid.ibms.sinica.edu.tw/cgi-bin/index.cgi	Cell line databases/resources	http://igrcid.ibms.sinica.edu.tw/cgi-bin/cell_line_view.cgi?cl_name=$1
IGSR	International Genome Sample Resource	https://www.internationalgenome.org/	Biological sample resources	https://www.internationalgenome.org/data-portal/sample/$1
Imanis	Imanis Life Sciences cell line products	https://www.imanislife.com/collections/cell-lines/	Cell line collections	https://www.imanislife.com/?s=$1
ISCR	International Stem Cell Registry	https://www.umassmed.edu/iscr/	Cell line databases/resources	
IZSLER	Istituto Zooprofilattico Sperimentale della Lombardia e dellEmilia Romagna biobank	http://www.ibvr.org/Services/CellCultures.aspx	Cell line collections	
JCRB	Japanese Collection of Research Bioresources Cell Bank	http://cellbank.nibiohn.go.jp/english/	Cell line collections	http://cellbank.nibiohn.go.jp//~cellbank/en/search_res_det.cgi?RNO=$1
KCB	Kunming Cell Bank of Type Culture Collection	http://www.kmcellbank.com/	Cell line collections	
KCLB	Korean Cell Line Bank	https://cellbank.snu.ac.kr/main/index.html	Cell line collections	https://cellbank.snu.ac.kr/english/sub/catalog.php?page=detail&CatNo=59&strQ=$1&submit1=Find+it
Kerafast	Kerafast cell lines	https://www.kerafast.com/	Cell line collections	https://www.kerafast.com/Search?SearchTerm=&quot;$1&quot;
KYinno	KYinno cell lines	https://www.kyinno.com/	Cell line collections	https://innopedia.kyinno.com/DataBase/CellLine.aspx?file=$1.pdf
LiGeA	Cancer cell LInes GEne fusions portAl	http://hpc-bioinformatics.cineca.it/fusion/main	Polymorphism and mutation databases	http://hpc-bioinformatics.cineca.it/fusion/cell_line/$1
LIMORE	Liver Cancer Model Repository	https://www.picb.ac.cn/limore/home	Cell line databases/resources	https://www.picb.ac.cn/limore/cellLines/single?para=$1
