prefix	name	description
1011	EC number	An Enzyme Commission (EC) number of an enzyme.
1027	Gene ID (NCBI)	An NCBI unique identifier of a gene.
1031	Gene ID (CGD)	Identifier of a gene or feature from the CGD database.
1032	Gene ID (DictyBase)	Identifier of a gene from DictyBase.
1033	Ensembl gene ID	Unique identifier for a gene (or other feature) from the Ensembl database.
1035	Gene ID (GeneDB)	Identifier of a gene from the GeneDB database.
1036	TIGR	Identifier of an entry from the TIGR database.
1037	TAIR accession (gene)	Identifier of an gene from the TAIR database.
1039	SCOP domain	Identifier of a protein domain (or other node) from the SCOP database.
1040	CATH domain ID	Identifier of a protein domain from CATH.
1041	SCOP concise classification string (sccs)	A SCOP concise classification string (sccs) is a compact representation of a SCOP domain classification.
1042	SCOP sunid	Unique identifier (number) of an entry in the SCOP hierarchy, for example 33229.
1043	CATH node ID	A code number identifying a node from the CATH database.
1066	Sequence alignment ID	Identifier of a molecular sequence alignment, for example a record from an alignment database.
1089	FlyBase ID	Identifier of an object from the FlyBase database.
1098	RefSeq accession	Accession number of a RefSeq database entry.
1100	PIR	An identifier of PIR sequence database entry.
1102	Gramene primary	Primary identifier of a Gramene database entry.
1103	EMBL/GenBank/DDBJ ID	Identifier of a (nucleic acid) entry from the EMBL/GenBank/DDBJ databases.
1104	Sequence cluster ID (UniGene)	A unique identifier of an entry (gene cluster) from the NCBI UniGene database.
1105	dbEST accession	Identifier of a dbEST database entry.
1113	Sequence cluster ID (COG)	Unique identifier of an entry from the COG database.
1118	HMMER hidden Markov model ID	Unique identifier or name of a HMMER hidden Markov model.
1119	JASPAR profile ID	Unique identifier or name of a profile from the JASPAR database.
1123	TreeBASE study accession number	Accession number of an entry from the TreeBASE database.
1124	TreeFam accession number	Accession number of an entry from the TreeFam database.
1127	PDB ID	An identifier of an entry from the PDB database.
1128	AAindex ID	Identifier of an entry from the AAindex database.
1129	BIND accession number	Accession number of an entry from the BIND database.
1130	IntAct accession number	Accession number of an entry from the IntAct database.
1133	InterPro accession	Primary accession number of an InterPro entry.
1134	InterPro secondary accession	Secondary accession number of an InterPro entry.
1135	Gene3D ID	Unique identifier of an entry from the Gene3D database.
1136	PIRSF ID	Unique identifier of an entry from the PIRSF database.
1137	PRINTS code	The unique identifier of an entry in the PRINTS database.
1138	Pfam accession number	Accession number of a Pfam entry.
1139	SMART accession number	Accession number of an entry from the SMART database.
1140	Superfamily hidden Markov model number	Unique identifier (number) of a hidden Markov model from the Superfamily database.
1141	TIGRFam ID	Accession number of an entry (family) from the TIGRFam database.
1142	ProDom accession number	A ProDom domain family accession number.
1143	TRANSFAC accession number	Identifier of an entry from the TRANSFAC database.
1146	EMDB ID	Identifier of an entry from the EMDB electron microscopy database.
1147	GEO accession number	Accession number of an entry from the GEO database.
1148	GermOnline ID	Identifier of an entry from the GermOnline database.
1149	EMAGE ID	Identifier of an entry from the EMAGE database.
1151	HGVbase ID	Identifier of an entry from the HGVbase database.
1153	OMIM ID	Identifier of an entry from the OMIM database.
1154	KEGG object	Unique identifier of an object from one of the KEGG databases (excluding the GENES division).
1155	Pathway ID (reactome)	Identifier of an entry from the Reactome database.
1157	Pathway ID (BioCyc)	Identifier of an pathway from the BioCyc biological pathways database.
1158	Pathway ID (INOH)	Identifier of an entry from the INOH database.
1159	Pathway ID (PATIKA)	Identifier of an entry from the PATIKA database.
1160	Pathway ID (CPDB)	Identifier of an entry from the CPDB (ConsensusPathDB) biological pathways database, which is an identifier from an external database integrated into CPDB.
1161	Pathway ID (Panther)	Identifier of a biological pathway from the Panther Pathways database.
1162	MIRIAM	Unique identifier of a MIRIAM data resource.
1167	Taverna workflow ID	Unique identifier of a Taverna workflow.
1171	BioModel ID	Unique identifier of an entry from the BioModel database.
1172	PubChem CID	Chemical structure specified in PubChem Compound Identification (CID), a non-zero integer identifier for a unique chemical structure.
1173	ChemSpider ID	Identifier of an entry from the ChemSpider database.
1174	ChEBI ID	Identifier of an entry from the ChEBI database.
1176	GO concept ID	An identifier of a concept from The Gene Ontology.
1177	MeSH concept ID	An identifier of a concept from the MeSH vocabulary.
1178	HGNC concept ID	An identifier of a concept from the HGNC controlled vocabulary.
1179	NCBI taxonomy ID	A stable unique identifier for each taxon (for a species, a family, an order, or any other group in the NCBI taxonomy database.
1180	Plant Ontology concept ID	An identifier of a concept from the Plant Ontology (PO).
1181	UMLS concept ID	An identifier of a concept from the UMLS vocabulary.
1182	FMA concept ID	An identifier of a concept from Foundational Model of Anatomy.
1183	EMAP concept ID	An identifier of a concept from the EMAP mouse ontology.
