prefix	status	preferred_prefix	name	homepage	description
1.0.21000.6	Complete	iso21000-6-2004E-RDD	ISO/IEC 21000-6:2004(E) Rights Data Dictionary	http://iso21000-6.net/	ISO/IEC 21000-6:2004 describes a Rights Data Dictionary which comprises a set of clear, consistent, structured, integrated and uniquely identified terms to support the MPEG-21 Rights Expression Language (REL), ISO/IEC 21000-5. Annex A specifies the methodology for and structure of the RDD Dictionary, and specifies how further Terms may be defined under the governance of a Registration Authority, requirements for which are described in Annex C.Taken together, these specifications and the RDD Dictionary and Database make up the RDD System. Use of the RDD System will facilitate the accurate exchange and processing of information between interested parties involved in the administration of rights in, and use of, Digital Items, and in particular it is intended to support ISO/IEC 21000-5 (REL). Clause 6 describes how ISO/IEC 21000-6:2004 relates to ISO/IEC 21000-5.As well as providing definitions of terms for use in ISO/IEC 21000-5, the RDD System is designed to support the mapping of terms from different namespaces. Such mapping will enable the transformation of metadata from the terminology of one namespace (or Authority) into that of another namespace. Mapping, to ensure minimum ambiguity or loss of semantic integrity, will be the responsibility of the Registration Authority. Provision of automated trm look-up is also a requirement.The RDD Dictionary is a prescriptive dctionary, in the sense that it defines a single meaning for a trm represented by a particular RddAuthorized TermName, but it is also inclusive in that it can recognize the prescription of other Headwords and definitions by other Authorities and incorporates them through mappings. The RDD Dictionary also supports the circumstance that the same name may have different meanings under different Authorities. ISO/IEC 21000-6:2004describes audit provisions so that additions, amendments and deletions to Terms and their attributes can be tracked.ISO/IEC 21000-6:2004 recognizes legal definitions as and only as Terms from other Authorities that can be mapped into the RDD Dictionary. Therefore Terms that are directly authorized by the RDD Registration Authority neither define nor prescribe intellectual property rights or other legal entities.
1.0.3166.1	Complete	iso3166-1	ISO 3166 Part 1 Country Codes	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-1 Standard for Country codes. This standard is released periodically, and  a new OID will be assigned by ISO for new editions.Note that this is the overall root, and may be used to identify the code system without being edition-specific.
1.0.3166.1.2	Complete	iso3166-1edition2	ISO 3166 Part 1 Country Codes, 2nd Edition	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-1 Standard for Country codes.  It contains 3 sets of synonyms for the country codes: 2-character alphabetic, 3-character alphabetic, and numeric. Note that this is the 2nd edition of the standard.
1.0.3166.1.2.1	Complete	iso3166-1edition2numeric	ISO 3166 Part 1 Country Codes, 2nd Edition, Numeric	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-1 Standard for Country codes, 2nd edition, numeric codes.
1.0.3166.1.2.2	Complete	iso3166-1edition2alpha2	ISO 3166 Part 1 Country Codes, 2nd Edition, Alpha-2	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-1 Standard for Country codes, 2nd edition, 2-character alphabetic codes.
1.0.3166.1.2.3	Complete	iso3166-1edition2alpha3	ISO 3166 Part 1 Country Codes, 2nd Edition, Alpha-3	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-1 Standard for Country codes, 2nd edition, 3-character alphabetic codes.
1.0.3166.2	Edited	iso3166-2	ISO 3166 Part 2 Country Subdivision Codes	http://www.iso.org	This OID identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and  a new OID will be assigned by ISO for new editions.
1.0.4217	Complete	iso4217	ISO 4217 Currency Codes	http://www.iso.org	ISO 4217 Currency Codes
1.0.639.1	Complete	iso639-1	ISO 639-1: Codes for the representation of names of languages -- Part 1: Alpha-2 code	http://www.iso.org/iso/home.htm	This part of ISO 639 provides a code consisting of language code elements comprising two-letter language identifiers for the representation of names of languages. The language identifiers according to this part of ISO 639 were devised originally for use in terminology, lexicography and linguistics, but may be adopted for any application requiring the expression of language in two-letter coded form, especially in computerized systems. The alpha-2 code was devised for practical use for most of the major languages of the world that are not only most frequently represented in the total body of the world's literature, but which also comprise a considerable volume of specialized languages and terminologies. Additional language identifiers are created when it becomes apparent that a significant body of documentation written in specialized languages and terminologies exists. Languages designed exclusively for machine use, such as computer-programming languages, are not included in this code.The code set is available from http://www.iso.org/iso/iso_catalogue/catalogue_ics/catalogue_detail_ics.htm?csnumber=22109&ICS1=1&ICS2=140&ICS3=20
1.0.639.2	Complete	iso639-2	ISO 639-2: Codes for the representation of names of languages -- Part 2: Alpha-3 code	http://www.iso.org/iso/home.htm	Codes for the representation of names of languages, 3 character alphabetic codes.  This has been superceded by ISO 639-3 for many purposes.  ISO 639-2 was released in 1998.  The code set is available from http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=4767
