prefix	name	homepage	uri_prefix
a-loc		https://w3id.org/arco/ontology/location	https://w3id.org/arco/ontology/location/$1
ac		http://rs.tdwg.org/ac/terms/	http://rs.tdwg.org/ac/terms/$1
acco		http://purl.org/acco/ns	http://purl.org/acco/ns#$1
acl		http://www.w3.org/wiki/WebAccessControl	http://www.w3.org/ns/auth/acl#$1
acm		http://www.rkbexplorer.com/ontologies/acm	http://acm.rkbexplorer.com/ontologies/acm#$1
acrt		http://privatealpha.com/ontology/certification/1#	http://privatealpha.com/ontology/certification/1#$1
af		http://motools.sourceforge.net/doc/audio_features.html	http://purl.org/ontology/af/$1
agls		https://agls.gov.au/schemas/rdfs/	http://www.agls.gov.au/agls/terms/$1
agr		http://promsns.org/def/agr/agr.html	http://promsns.org/def/agr#$1
agrelon		http://d-nb.info/standards/elementset/agrelon	http://d-nb.info/standards/elementset/agrelon#$1
aiiso		http://vocab.org/aiiso/schema-20080925.html	http://purl.org/vocab/aiiso/schema#$1
airo		https://w3id.org/AIRO	https://w3id.org/AIRO#$1
airs		https://github.com/airs-linked-data/lov	https://raw.githubusercontent.com/airs-linked-data/lov/latest/src/airs_vocabulary.ttl#$1
akt		http://d3e.open.ac.uk/akt/2002/ref-onto.html	http://www.aktors.org/ontology/portal#$1
akts		http://www.aktors.org/ontology/support	http://www.aktors.org/ontology/support#$1
algo		http://securitytoolbox.appspot.com/securityAlgorithms#	http://securitytoolbox.appspot.com/securityAlgorithms#$1
am		http://open-services.net/wiki/asset-management/OSLC-Asset-Management-2.0-Specification/	http://open-services.net/ns/asset#$1
aml		https://w3id.org/i40/aml	https://w3id.org/i40/aml#$1
amlo-core		http://w3id.org/amlo/core	http://w3id.org/amlo/core#$1
amv		https://w3id.org/amv	https://w3id.org/amv#$1
ao		http://purl.org/ontology/ao/core#	http://purl.org/ontology/ao/core#$1
aos		http://rdf.muninn-project.org/ontologies/appearances	http://rdf.muninn-project.org/ontologies/appearances#$1
apco		https://purl.org/cm/onto/apco	https://purl.org/cm/onto/apco#$1
api		http://purl.org/linked-data/api/vocab#	http://purl.org/linked-data/api/vocab#$1
apps4X		http://semweb.mmlab.be/ns/apps4X	http://semweb.mmlab.be/ns/apps4X#$1
arch		http://gslis.simmons.edu/archival/arch/index.html	http://purl.org/archival/vocab/arch#$1
arco		https://w3id.org/arco/ontology/core	https://w3id.org/arco/ontology/core/$1
arp		http://www.arpenteur.org/ontology/Arpenteur.owl	http://www.arpenteur.org/ontology/Arpenteur.owl#$1
atd		https://data.nasa.gov/ontologies/atmonto/data#	https://data.nasa.gov/ontologies/atmonto/data#$1
atm		https://data.nasa.gov/ontologies/atmonto/ATM#	https://data.nasa.gov/ontologies/atmonto/ATM#$1
atts		https://data.nasa.gov/ontologies/atmonto/general#	https://data.nasa.gov/ontologies/atmonto/general#$1
authn_provider		https://w3id.org/inrupt/namespace/vocab/authn_provider/	https://w3id.org/inrupt/namespace/vocab/authn_provider/$1
awol		http://bblfish.net/work/atom-owl/2006-06-06/AtomOwl.html	http://bblfish.net/work/atom-owl/2006-06-06/#$1
aws		http://purl.oclc.org/NET/ssnx/meteo/aws	http://purl.oclc.org/NET/ssnx/meteo/aws#$1
bag		http://bag.basisregistraties.overheid.nl/def/bag	http://bag.basisregistraties.overheid.nl/def/bag#$1
basic		http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic	http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#$1
bbc		http://www.bbc.co.uk/ontologies/bbc	http://www.bbc.co.uk/ontologies/bbc/$1
bbccms		http://www.bbc.co.uk/ontologies/cms	http://www.bbc.co.uk/ontologies/cms/$1
bbccore		http://www.bbc.co.uk/ontologies/coreconcepts	http://www.bbc.co.uk/ontologies/coreconcepts/$1
bbcprov		http://www.bbc.co.uk/ontologies/provenance	http://www.bbc.co.uk/ontologies/provenance/$1
bci		https://w3id.org/BCI-ontology	https://w3id.org/BCI-ontology#$1
bcom		https://w3id.org/bcom	https://w3id.org/bcom#$1
being		http://contextus.net/ontology/ontomedia/ext/common/being#	http://contextus.net/ontology/ontomedia/ext/common/being#$1
bevon		http://rdfs.co/bevon/	http://rdfs.co/bevon/$1
bibtex		http://purl.org/net/nknouf/ns/bibtex	http://purl.org/net/nknouf/ns/bibtex#$1
bimerr-op		http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#$1
bio		http://vocab.org/bio/0.1/.html	http://purl.org/vocab/bio/0.1/$1
biol		http://purl.org/NET/biol/ns#	http://purl.org/NET/biol/ns#$1
biopax		http://www.biopax.org/release/biopax-level3.owl	http://www.biopax.org/release/biopax-level3.owl#$1
biotop		http://purl.org/biotop	http://purl.org/biotop/biotop.owl#$1
blt		http://www.bl.uk/schemas/bibliographic/blterms	http://www.bl.uk/schemas/bibliographic/blterms#$1
bot		http://swa.cefriel.it/ontologies/botdcat-ap	http://swa.cefriel.it/ontologies/botdcat-ap#$1
botany		http://purl.org/NET/biol/botany#	http://purl.org/NET/biol/botany#$1
bperson		http://data.vlaanderen.be/ns/#Vocabularia	http://data.vlaanderen.be/ns/persoon#$1
br		http://vocab.deri.ie/br	http://vocab.deri.ie/br#$1
brk		http://brk.basisregistraties.overheid.nl/def/brk	http://brk.basisregistraties.overheid.nl/def/brk#$1
brt		http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#$1
bto		https://w3c-lbd-cg.github.io/bot/index.html	https://w3id.org/bot#$1
c4n		http://vocab.deri.ie/c4n	http://vocab.deri.ie/c4n#$1
cal		http://www.w3.org/TR/rdfcal/	http://www.w3.org/2002/12/cal/ical#$1
caresses		http://caressesrobot.org/ontology	http://caressesrobot.org/ontology#$1
cart		http://purl.org/net/cartCoord#	http://purl.org/net/cartCoord#$1
caso		http://www.w3id.org/def/caso#	http://www.w3id.org/def/caso#$1
cbcm		http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#$1
cbo		https://github.com/comicmeta/ComicBookOntology	http://comicmeta.org/cbo/$1
cbs		http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#$1
cci		http://cookingbigdata.com/linkeddata/ccinstances	http://cookingbigdata.com/linkeddata/ccinstances#$1
cco		http://purl.org/ontology/cco/core#	http://purl.org/ontology/cco/core#$1
ccp		http://cookingbigdata.com/linkeddata/ccpricing	http://cookingbigdata.com/linkeddata/ccpricing#$1
ccr		http://cookingbigdata.com/linkeddata/ccregions	http://cookingbigdata.com/linkeddata/ccregions#$1
ccsla		http://cookingbigdata.com/linkeddata/ccsla	http://cookingbigdata.com/linkeddata/ccsla#$1
cdc		https://w3id.org/cdc	https://w3id.org/cdc#$1
cdesc		https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/$1
cdm		http://purl.org/twc/ontology/cdm.owl#	http://purl.org/twc/ontology/cdm.owl#$1
cdtype		http://dublincore.org/groups/collections/collection-application-profile/	http://purl.org/cld/cdtype/$1
cem		https://w3id.org/CEMontology	https://w3id.org/CEMontology/$1
ceo		http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1	http://www.ebusiness-unibw.org/ontologies/consumerelectronics/v1#$1
cerif		http://www.eurocris.org/ontologies/cerif/1.3	http://www.eurocris.org/ontologies/cerif/1.3#$1
cert		http://www.w3.org/ns/auth/cert#	http://www.w3.org/ns/auth/cert#$1
cevent		https://w3id.org/arco/ontology/cultural-event	https://w3id.org/arco/ontology/cultural-event/$1
cff		http://purl.oclc.org/NET/ssnx/cf/cf-feature	http://purl.oclc.org/NET/ssnx/cf/cf-feature#$1
cfp		http://purl.oclc.org/NET/ssnx/cf/cf-property	http://purl.oclc.org/NET/ssnx/cf/cf-property#$1
cfrl		http://linkeddata.finki.ukim.mk/lod/ontology/cfrl#	http://linkeddata.finki.ukim.mk/lod/ontology/cfrl#$1
cgov		http://reference.data.gov.uk/def/central-government	http://reference.data.gov.uk/def/central-government/$1
chord		http://purl.org/ontology/chord/	http://purl.org/ontology/chord/$1
ci		https://privatealpha.com/ontology/content-inventory/1#	https://privatealpha.com/ontology/content-inventory/1#$1
cis		http://dati.beniculturali.it/lodview/cis/.html	http://dati.beniculturali.it/cis/$1
citedcat		https://ec-jrc.github.io/datacite-to-dcat-ap/	https://w3id.org/citedcat-ap/$1
citof		http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/$1
cl		http://advene.org/cinelab/	http://advene.org/ns/cinelab/ld#$1
cld		http://dublincore.org/groups/collections/collection-application-profile/	http://purl.org/cld/terms/$1
cmo		http://purl.org/twc/ontologies/cmo.owl	http://purl.org/twc/ontologies/cmo.owl#$1
cnt		http://www.w3.org/TR/Content-in-RDF10/	http://www.w3.org/2011/content#$1
co		http://purl.org/ontology/co/core#	http://purl.org/ontology/co/core#$1
cochrane		https://data.cochrane.org/ontologies/core/index-en.html	http://data.cochrane.org/ontologies/core/$1
cocoon		https://w3id.org/cocoon/v1.0	https://w3id.org/cocoon/v1.0#$1
cogs		http://vocab.deri.ie/cogs.html	http://vocab.deri.ie/cogs#$1
cold		http://purl.org/configurationontology	http://purl.org/configurationontology#$1
coll		http://code.google.com/p/collections-ontology/	http://purl.org/co/$1
comm		http://vocab.resc.info/communication	http://vocab.resc.info/communication#$1
common		http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#$1
con		http://www.w3.org/2000/10/swap/pim/contact	http://www.w3.org/2000/10/swap/pim/contact#$1
contax		https://w3id.org/con-tax	https://w3id.org/con-tax#$1
conversion		http://purl.org/twc/vocab/conversion/	http://purl.org/twc/vocab/conversion/$1
coo		http://purl.org/coo/ns.html	http://purl.org/coo/ns#$1
core		https://w3id.org/mdo/core/	https://w3id.org/mdo/core/$1
coreo		http://purl.org/coreo	http://purl.org/coreo#$1
coun		http://www.daml.org/ontologies/352	http://www.daml.org/2001/09/countries/iso-3166-ont#$1
cpa		http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl	http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#$1
cpmeta		http://meta.icos-cp.eu/ontologies/cpmeta/	http://meta.icos-cp.eu/ontologies/cpmeta/$1
CPSWatch		https://w3id.org/CPSWatch	https://w3id.org/CPSWatch#$1
crm		http://www.cidoc-crm.org/cidoc-crm/	http://www.cidoc-crm.org/cidoc-crm/$1
cro		http://rhizomik.net/html/ontologies/copyrightonto/	http://rhizomik.net/ontologies/copyrightonto.owl#$1
crsw		http://courseware.rkbexplorer.com/ontologies/courseware	http://courseware.rkbexplorer.com/ontologies/courseware#$1
cs		http://purl.org/vocab/changeset/schema	http://purl.org/vocab/changeset/schema#$1
csp		http://vocab.deri.ie/csp	http://vocab.deri.ie/csp#$1
csvw		http://www.w3.org/ns/csvw#	http://www.w3.org/ns/csvw#$1
ct		http://www.tele.pw.edu.pl/~sims-onto/	http://www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl#$1
ctag		http://commontag.org/Specification	http://commontag.org/ns#$1
ctlog		https://w3id.org/arco/ontology/catalogue	https://w3id.org/arco/ontology/catalogue/$1
cto		https://w3id.org/cto	https://w3id.org/cto#$1
ctorg		http://purl.org/ctic/infraestructuras/organizacion	http://purl.org/ctic/infraestructuras/organizacion#$1
ctrl		https://w3id.org/ibp/CTRLont	https://w3id.org/ibp/CTRLont#$1
ctxdesc		http://www.demcare.eu/ontologies/ctxdesc.html	http://www.demcare.eu/ontologies/contextdescriptor.owl#$1
cwmo		http://purl.org/cwmo/#	http://purl.org/cwmo/#$1
