prefix	name	homepage	uri_prefix
AssemblyInsdc	Assembly INSDC		
AssemblyRefseq	Assembly RefSeq		
BioprojectUmbrella	BioProject umbrella		
EnsemblGene	Ensembl gene		
EnsemblProtein	Ensembl protein		
EnsemblTranscript	Ensembl transcript		
FlybaseGene	FlyBase gene		
Gea	GEA		
GeoSeries	GEO series		
HpInheritance	HP Inheritance		
HpPhenotype	HP Phenotype		
InsdcMaster	INSDC master		
JgaDataset	JGA Dataset		
JgaStudy	JGA Study		
MbgdGene	MBGD gene		
MbgdOrganism	MBGD organism		
MgiAllele	MGI allele		
MgiGene	MGI gene		
MgiGenotype	MGI genotype		
NbdcHumanDb	NBDC Human Database		
NcitDisease	NCIt disease		
NcitTissue	NCIt tissue		
OmaGroup	OMA group		
OmimGene	OMIM gene		
OmimPhenotype	OMIM phenotype		
OrphanetGene	Orphanet gene		
OrphanetPhenotype	Orphanet phenotype		
PrositeProrule	PROSITE ProRule		
PubchemPathway	PubChem pathway		
ReactomePathway	Reactome pathway		
ReactomeReaction	Reactome reaction		
RefseqGenomic	RefSeq genomic		
RefseqProtein	RefSeq protein		
RefseqRna	RefSeq RNA		
SraAccession	SRA accession		
SraAnalysis	SRA analysis		
SraExperiment	SRA experiment		
SraProject	SRA project		
SraRun	SRA run		
SraSample	SRA sample		
Tair	TAIR		
UniprotMnemonic	UniProt mnemonic		
UniprotReferenceProteome	UniProt reference proteome		
WormbaseGene	WormBase gene		
XenbaseGene	Xenbase gene		
ZfinGene	ZFIN gene		
